,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.1761546723952739,0.15682062298603652,0.0719656283566058,120,44,0.7317073170731707
fine_grained_changes_transformer_80,1,"[0, 1]",0.12459720730397422,0.10311493018259936,0.0397422126745435,80,36,0.6896551724137931
fine_grained_changes_transformer_70,2,"[0, 1]",0.10741138560687433,0.09559613319011816,0.047261009667024706,66,34,0.66
all_files_test_add,3,[0],0.0010741138560687433,0.0010741138560687433,0.0,1,0,1.0
all_files_test_fix,4,[0],0.0010741138560687433,0.0010741138560687433,0.0,1,0,1.0
buggless_if_many_lines_changed,5,[0],0.12996777658431793,0.1267454350161117,0.04189044038668099,92,29,0.7603305785123967
bugless_if_at_least_2_removed_files,6,[0],0.01288936627282492,0.01288936627282492,0.00322234156820623,9,3,0.75
bugless_if_at_least_5_added_files,7,[0],0.036519871106337275,0.03544575725026853,0.011815252416756176,26,8,0.7647058823529411
bugless_if_many_files_changes,8,[0],0.07303974221267455,0.0719656283566058,0.022556390977443608,55,13,0.8088235294117647
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,11,[0],0.017185821697099892,0.017185821697099892,0.0021482277121374865,16,0,1.0
bug_message_keyword_combined_bad,12,[1],0.07089151450053706,0.0644468313641246,0.03544575725026853,52,14,0.7878787878787878
bug_message_keyword_combined_broken,13,[1],0.07626208378088077,0.06874328678839957,0.04833512352309345,42,29,0.5915492957746479
bug_message_keyword_combined_disabl,14,[1],0.04296455424274973,0.04081632653061224,0.027926960257787327,24,16,0.6
bug_message_keyword_combined_correct,15,[1],0.06874328678839957,0.06229860365198711,0.04833512352309345,45,19,0.703125
bug_message_keyword_combined_bug,16,[1],0.06229860365198711,0.05907626208378088,0.03866809881847476,47,11,0.8103448275862069
bug_message_keyword_combined_close,17,[1],0.04940923737916219,0.047261009667024706,0.0397422126745435,20,26,0.43478260869565216
bug_message_keyword_combined_bugfix,18,[1],0.2696025778732546,0.22234156820622986,0.14178302900107412,227,24,0.9043824701195219
bugless_message_keyword_combined_abil,19,[0],0.1041890440386681,0.08700322234156821,0.04296455424274973,80,17,0.8247422680412371
bugless_message_keyword_combined_addit,20,[0],0.11600429645542427,0.10633727175080558,0.05155746509129968,79,29,0.7314814814814815
bugless_message_keyword_combined_bump,21,[0],0.05907626208378088,0.05155746509129968,0.02577873254564984,45,10,0.8181818181818181
bugless_message_keyword_combined_allow,22,[0],0.1385606874328679,0.11922663802363051,0.04940923737916219,115,14,0.8914728682170543
bugless_message_keyword_combined_clean,23,[0],0.11815252416756176,0.0966702470461869,0.0322234156820623,102,8,0.9272727272727272
bugless_message_keyword_combined_doc,24,[0],0.09452201933404941,0.08807733619763695,0.04081632653061224,74,14,0.8409090909090908
bugless_message_keyword_combined_remov,25,[0],0.07411385606874328,0.061224489795918366,0.03007518796992481,59,10,0.855072463768116
bugless_message_keyword_combined_test,26,[0],0.16970998925886144,0.16326530612244897,0.10096670247046187,94,64,0.5949367088607596
bugless_message_keyword_combined_ad,27,[0],0.17293233082706766,0.15789473684210525,0.06015037593984962,133,28,0.8260869565217391
bugless_message_keyword_combined_updat,28,[0],0.03007518796992481,0.027926960257787327,0.017185821697099892,21,7,0.75
