,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.288,0.26666666666666666,0.136,74,34,0.6851851851851851
fine_grained_changes_transformer_80,1,"[0, 1]",0.184,0.17333333333333334,0.096,46,23,0.6666666666666666
fine_grained_changes_transformer_70,2,"[0, 1]",0.12533333333333332,0.11733333333333333,0.08,29,18,0.6170212765957447
all_files_test_add,3,[0],0.013333333333333334,0.013333333333333334,0.0026666666666666666,5,0,1.0
all_files_test_fix,4,[0],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
buggless_if_many_lines_changed,5,[0],0.11466666666666667,0.10933333333333334,0.048,35,8,0.813953488372093
bugless_if_at_least_2_removed_files,6,[0],0.016,0.016,0.0026666666666666666,5,1,0.8333333333333333
bugless_if_at_least_5_added_files,7,[0],0.024,0.024,0.013333333333333334,8,1,0.8888888888888888
bugless_if_many_files_changes,8,[0],0.042666666666666665,0.042666666666666665,0.018666666666666668,15,1,0.9375
bugless_if_not_code_files,9,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,10,[0],0.021333333333333333,0.021333333333333333,0.0026666666666666666,8,0,1.0
refactoring_if_at_least_2_renamed,11,[0],0.008,0.008,0.0026666666666666666,3,0,1.0
bug_message_keyword_combined_bad,12,[1],0.072,0.072,0.037333333333333336,22,5,0.8148148148148149
bug_message_keyword_combined_broken,13,[1],0.04533333333333334,0.04,0.029333333333333333,11,6,0.6470588235294118
bug_message_keyword_combined_disabl,14,[1],0.05333333333333334,0.050666666666666665,0.04,10,10,0.5
bug_message_keyword_combined_correct,15,[1],0.08266666666666667,0.08266666666666667,0.06666666666666667,17,14,0.5483870967741935
bug_message_keyword_combined_bug,16,[1],0.11466666666666667,0.112,0.06933333333333333,30,13,0.6976744186046512
bug_message_keyword_combined_close,17,[1],0.042666666666666665,0.042666666666666665,0.037333333333333336,8,8,0.5
bug_message_keyword_combined_bugfix,18,[1],0.4,0.37066666666666664,0.25333333333333335,114,36,0.76
bugless_message_keyword_combined_abil,19,[0],0.10933333333333334,0.10933333333333334,0.07733333333333334,31,10,0.7560975609756098
bugless_message_keyword_combined_addit,20,[0],0.12533333333333332,0.12,0.07466666666666667,32,15,0.6808510638297872
bugless_message_keyword_combined_bump,21,[0],0.128,0.12533333333333332,0.06933333333333333,37,11,0.7708333333333333
bugless_message_keyword_combined_allow,22,[0],0.072,0.06666666666666667,0.042666666666666665,22,5,0.8148148148148149
bugless_message_keyword_combined_clean,23,[0],0.12533333333333332,0.12266666666666666,0.064,42,5,0.8936170212765957
bugless_message_keyword_combined_doc,24,[0],0.09066666666666667,0.08266666666666667,0.050666666666666665,27,7,0.7941176470588236
bugless_message_keyword_combined_remov,25,[0],0.048,0.042666666666666665,0.024,13,5,0.7222222222222222
bugless_message_keyword_combined_test,26,[0],0.12,0.11733333333333333,0.06933333333333333,32,13,0.7111111111111111
bugless_message_keyword_combined_ad,27,[0],0.21333333333333335,0.2,0.10666666666666667,64,16,0.8
bugless_message_keyword_combined_updat,28,[0],0.056,0.048,0.029333333333333333,14,7,0.6666666666666666
