,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.21686746987951808,0.18460940536338905,0.07248348231636223,820,296,0.7347670250896057
fine_grained_changes_transformer_80,1,"[0, 1]",0.11931597357170617,0.0977458219976681,0.04450058297706957,421,193,0.6856677524429967
fine_grained_changes_transformer_70,2,"[0, 1]",0.09444228527011271,0.08219976680917217,0.037699183832102606,319,167,0.6563786008230452
all_files_test_add,3,[0],0.001748931208705791,0.001748931208705791,0.0013602798289933929,4,5,0.4444444444444444
all_files_test_fix,4,[0],0.000388651379712398,0.000388651379712398,0.000194325689856199,2,0,1.0
buggless_if_many_lines_changed,5,[0],0.1710066070734551,0.16265060240963855,0.04061406917994559,787,93,0.8943181818181818
bugless_if_at_least_2_removed_files,6,[0],0.022736105713175282,0.022347454333462885,0.003692188107267781,108,9,0.9230769230769231
bugless_if_at_least_5_added_files,7,[0],0.04003109211037699,0.04003109211037699,0.006412747765254567,198,8,0.9611650485436893
bugless_if_many_files_changes,8,[0],0.10085503303536728,0.09891177613680528,0.015934706568208317,491,28,0.9460500963391136
bugless_if_not_code_files,9,[0],0.017877963466770307,0.01554605518849592,0.006218422075398368,67,25,0.7282608695652174
no_files_have_modified_status,10,[0],0.02118150019432569,0.020792848814613293,0.00388651379712398,93,16,0.8532110091743119
refactoring_if_at_least_2_renamed,11,[0],0.02098717450446949,0.02098717450446949,0.002137582588418189,104,4,0.962962962962963
bug_message_keyword_combined_bad,12,[1],0.10415856976292266,0.08841818888457054,0.058492032646715895,390,146,0.7276119402985075
bug_message_keyword_combined_broken,13,[1],0.06781966575981345,0.06218422075398368,0.04255732607850758,208,141,0.5959885386819485
bug_message_keyword_combined_disabl,14,[1],0.09327633113097551,0.08705790905557714,0.06917994558880684,188,292,0.39166666666666666
bug_message_keyword_combined_correct,15,[1],0.0788962300816168,0.06820831713952584,0.05071900505246794,227,179,0.5591133004926109
bug_message_keyword_combined_bug,16,[1],0.14613291877186163,0.14438398756315585,0.09113874854255732,407,345,0.5412234042553191
bug_message_keyword_combined_close,17,[1],0.016906335017489314,0.013602798289933929,0.007190050524679362,58,29,0.6666666666666666
bug_message_keyword_combined_bugfix,18,[1],0.22172561212592304,0.19957248348231635,0.12942090944422852,664,477,0.581945661700263
bugless_message_keyword_combined_abil,19,[0],0.11134862028760202,0.09949475320637388,0.04022541780023319,468,105,0.8167539267015707
bugless_message_keyword_combined_addit,20,[0],0.09930042751651769,0.09191605130198212,0.05363389040031092,365,146,0.7142857142857143
bugless_message_keyword_combined_bump,21,[0],0.05091333074232413,0.046055188495919164,0.025262339681305868,207,55,0.7900763358778626
bugless_message_keyword_combined_allow,22,[0],0.11115429459774583,0.09852312475709289,0.04624951418577536,475,97,0.8304195804195804
bugless_message_keyword_combined_clean,23,[0],0.07559269335406141,0.06995724834823164,0.02487368830159347,302,87,0.7763496143958869
bugless_message_keyword_combined_doc,24,[0],0.10726778080062184,0.10085503303536728,0.05071900505246794,394,158,0.713768115942029
bugless_message_keyword_combined_remov,25,[0],0.06121259230470268,0.05013602798289934,0.020404197434900895,248,67,0.7873015873015873
bugless_message_keyword_combined_test,26,[0],0.07092887679751263,0.06529343179168286,0.035950252623396815,253,112,0.6931506849315069
bugless_message_keyword_combined_ad,27,[0],0.14788184998056744,0.13389040031092111,0.04586086280606296,618,143,0.812089356110381
bugless_message_keyword_combined_updat,28,[0],0.018266614846482704,0.016906335017489314,0.0075787019043917605,67,27,0.7127659574468085
