,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,1,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_70,2,[],0.0,0.0,0.0,0,0,0.0
all_files_test_add,3,[0],0.0062047569803516025,0.0062047569803516025,0.002068252326783868,5,1,0.8333333333333333
all_files_test_fix,4,[0],0.002068252326783868,0.002068252326783868,0.001034126163391934,1,1,0.5
buggless_if_many_lines_changed,5,[0],0.10341261633919338,0.09927611168562564,0.023784901758014478,87,13,0.87
bugless_if_at_least_2_removed_files,6,[0],0.03205791106514995,0.03205791106514995,0.005170630816959669,28,3,0.9032258064516129
bugless_if_at_least_5_added_files,7,[0],0.03205791106514995,0.03205791106514995,0.004136504653567736,27,4,0.8709677419354839
bugless_if_many_files_changes,8,[0],0.0672182006204757,0.0641158221302999,0.011375387797311272,60,5,0.9230769230769231
bugless_if_not_code_files,9,[0],0.5387797311271976,0.4612202688728025,0.27714581178903824,287,234,0.5508637236084453
no_files_have_modified_status,10,[0],0.04963805584281282,0.04860392967942089,0.001034126163391934,41,7,0.8541666666666667
refactoring_if_at_least_2_renamed,11,[0],0.01964839710444674,0.01861427094105481,0.0031023784901758012,18,1,0.9473684210526316
bug_message_keyword_combined_bad,12,[1],0.023784901758014478,0.023784901758014478,0.017580144777662874,21,2,0.9130434782608696
bug_message_keyword_combined_broken,13,[1],0.04343329886246122,0.04136504653567735,0.031023784901758014,24,18,0.5714285714285714
bug_message_keyword_combined_disabl,14,[1],0.03412616339193381,0.03205791106514995,0.025853154084798345,15,18,0.45454545454545453
bug_message_keyword_combined_correct,15,[1],0.038262668045501554,0.03516028955532575,0.02998965873836608,19,18,0.5135135135135135
bug_message_keyword_combined_bug,16,[1],0.23474663908996898,0.23371251292657705,0.21509824198552224,148,79,0.6519823788546255
bug_message_keyword_combined_close,17,[1],0.002068252326783868,0.001034126163391934,0.001034126163391934,2,0,1.0
bug_message_keyword_combined_bugfix,18,[1],0.39710444674250256,0.3453981385729059,0.3154084798345398,274,110,0.7135416666666666
bugless_message_keyword_combined_abil,19,[0],0.05377456049638056,0.04963805584281282,0.020682523267838676,45,7,0.8653846153846154
bugless_message_keyword_combined_addit,20,[0],0.06928645294725956,0.06204756980351603,0.022750775594622543,44,23,0.6567164179104478
bugless_message_keyword_combined_bump,21,[0],0.06308169596690796,0.05894519131334023,0.020682523267838676,53,8,0.8688524590163935
bugless_message_keyword_combined_allow,22,[0],0.10858324715615306,0.0889348500517063,0.038262668045501554,83,22,0.7904761904761906
bugless_message_keyword_combined_clean,23,[0],0.10858324715615306,0.10031023784901758,0.028955532574974147,99,6,0.9428571428571428
bugless_message_keyword_combined_doc,24,[0],0.08686659772492245,0.08066184074457083,0.04446742502585315,71,13,0.8452380952380952
bugless_message_keyword_combined_remov,25,[0],0.05894519131334023,0.052740434332988625,0.012409513960703205,45,12,0.7894736842105263
bugless_message_keyword_combined_test,26,[0],0.03412616339193381,0.033092037228541885,0.01344364012409514,22,11,0.6666666666666666
bugless_message_keyword_combined_ad,27,[0],0.22130299896587383,0.2047569803516029,0.06308169596690796,164,50,0.7663551401869159
bugless_message_keyword_combined_updat,28,[0],0.03929679420889348,0.038262668045501554,0.014477766287487074,31,7,0.8157894736842105
