,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.2608200455580866,0.255125284738041,0.1366742596810934,174,55,0.759825327510917
fine_grained_changes_transformer_80,1,"[0, 1]",0.16856492027334852,0.15375854214123008,0.10364464692482915,109,39,0.7364864864864865
fine_grained_changes_transformer_70,2,"[0, 1]",0.08769931662870159,0.08769931662870159,0.06150341685649203,47,30,0.6103896103896104
all_files_test_add,3,[0],0.00683371298405467,0.00683371298405467,0.002277904328018223,5,1,0.8333333333333333
all_files_test_fix,4,[0],0.002277904328018223,0.002277904328018223,0.0011389521640091116,1,1,0.5
buggless_if_many_lines_changed,5,[0],0.11389521640091116,0.11047835990888383,0.02847380410022779,87,13,0.87
bugless_if_at_least_2_removed_files,6,[0],0.03530751708428246,0.03530751708428246,0.00683371298405467,28,3,0.9032258064516129
bugless_if_at_least_5_added_files,7,[0],0.03530751708428246,0.03530751708428246,0.0056947608200455585,27,4,0.8709677419354839
bugless_if_many_files_changes,8,[0],0.07403189066059225,0.07061503416856492,0.01366742596810934,60,5,0.9230769230769231
bugless_if_not_code_files,9,[0],0.5933940774487472,0.5626423690205011,0.39863325740318906,287,234,0.5508637236084453
no_files_have_modified_status,10,[0],0.05466970387243736,0.05466970387243736,0.0011389521640091116,41,7,0.8541666666666667
refactoring_if_at_least_2_renamed,11,[0],0.02164009111617312,0.02050113895216401,0.003416856492027335,18,1,0.9473684210526316
bug_message_keyword_combined_bad,12,[1],0.022779043280182234,0.022779043280182234,0.0193621867881549,18,2,0.9
bug_message_keyword_combined_broken,13,[1],0.04441913439635535,0.04214123006833713,0.03416856492027335,23,16,0.5897435897435898
bug_message_keyword_combined_disabl,14,[1],0.03189066059225513,0.03189066059225513,0.030751708428246014,10,18,0.35714285714285715
bug_message_keyword_combined_correct,15,[1],0.03530751708428246,0.03189066059225513,0.029612756264236904,15,16,0.4838709677419355
bug_message_keyword_combined_bug,16,[1],0.244874715261959,0.2437357630979499,0.23348519362186787,142,73,0.6604651162790698
bug_message_keyword_combined_close,17,[1],0.002277904328018223,0.0011389521640091116,0.0011389521640091116,2,0,1.0
bug_message_keyword_combined_bugfix,18,[1],0.3724373576309795,0.357630979498861,0.3416856492027335,232,95,0.709480122324159
bugless_message_keyword_combined_abil,19,[0],0.05466970387243736,0.05239179954441914,0.023917995444191344,41,7,0.8541666666666667
bugless_message_keyword_combined_addit,20,[0],0.07517084282460136,0.07403189066059225,0.029612756264236904,43,23,0.6515151515151515
bugless_message_keyword_combined_bump,21,[0],0.05580865603644647,0.05580865603644647,0.01366742596810934,41,8,0.8367346938775511
bugless_message_keyword_combined_allow,22,[0],0.11161731207289294,0.10933940774487472,0.05011389521640091,77,21,0.7857142857142857
bugless_message_keyword_combined_clean,23,[0],0.11845102505694761,0.11161731207289294,0.04441913439635535,98,6,0.9423076923076923
bugless_message_keyword_combined_doc,24,[0],0.08086560364464693,0.07972665148063782,0.04441913439635535,58,13,0.8169014084507042
bugless_message_keyword_combined_remov,25,[0],0.06264236902050115,0.06150341685649203,0.0193621867881549,44,11,0.8
bugless_message_keyword_combined_test,26,[0],0.03189066059225513,0.03189066059225513,0.012528473804100227,19,9,0.6785714285714286
bugless_message_keyword_combined_ad,27,[0],0.23006833712984054,0.22323462414578588,0.09681093394077449,153,49,0.7574257425742574
bugless_message_keyword_combined_updat,28,[0],0.04214123006833713,0.04214123006833713,0.017084282460136675,31,6,0.8378378378378378
