sha,message,label,predicted,prob_CommitLabel.BugFix
0e166c04eb66137bc2b8ed69388f3fc620298e4d,"Add support for unowned/weak array elements
",CommitLabel.NonBugFix,0,0.01
de2eb894a54313baf027c54a77a7c5c679162f37,"drivers: Mark arrays as unowned instead of weak
",CommitLabel.NonBugFix,1,0.68
300e643ce781132b7276962b1a8223b3ebde5fde,"ctypresolver: signals: register default implementations
",CommitLabel.NonBugFix,1,0.58
eee27a89faa533249f7b3aad7af23c0fd61dfc6e,"signals: collect default implementations
",CommitLabel.NonBugFix,0,0.14
afb7c165c79a7ed483b1871c1fb4601ce07b4918,"embedded: Fix check() for relative paths
",CommitLabel.BugFix,0,0.44
c0adeabd80460d704d832b12ddc8b694ce4e52ea,"doap++
",CommitLabel.NonBugFix,0,0.19
2dc8e00ddfea221e5592d0e7cfbf0cbe1c031d57,"gir-importer: docbook: process all <doc-* tags
",CommitLabel.NonBugFix,0,0.19
faeaecd49a7c17ec7631cec7a859933976ed7068,"gir: ignore type struct docs
",CommitLabel.NonBugFix,0,0.25
8c9507ec33019b88dd43ab47e1bd50d22332740b,"girmetadata: allow to override <ONLINE>
",CommitLabel.NonBugFix,0,0.04
37819b1b6409eb7cbaa96366bb91f6557f821b11,"gir-importer: docbook: resolve internal links
",CommitLabel.NonBugFix,0,0.09
0c5997b20245bf1ee179ca09893947d5f82a4620,"gir-importer: markdown: resolve internal links
",CommitLabel.NonBugFix,0,0.22
58e527fbe2020611a1f2596d5cffe8ad4a0cc240,"Allow to inherit from imported docs
",CommitLabel.NonBugFix,0,0.04
aa0fa2da0f5e0b1ab6ace926866342b803504941,"html: add <meta charset=""UTF-8""/>
",CommitLabel.BugFix,0,0.32
89ecb6a91b5bfbe7d1fbf7703b09519079bd6a33,"gir-importer: skip <union> elements without ctype-attributes
",CommitLabel.BugFix,1,0.68
5257a46ff98a481641a7c9b86e9c4e6dd2981632,"Split process-comments into parse and check runs
",CommitLabel.NonBugFix,0,0.03
a4ea5ec772783547025169e51f3471b728bcf881,"ctyperesolver, virtual signals: register function pointer names
",CommitLabel.NonBugFix,0,0.15
