,j,Polarity,Coverage,Overlaps,Conflicts
fine_grained_changes_transformer,0,"[0, 1]",1.0,0.8361708931288094,0.46479617050552813
bugless_if_at_least_5_added_files,1,[0],0.029380129652419113,0.029380129652419113,0.011143518832546826
all_files_test_add,2,[0],0.0012015620306398318,0.0012015620306398318,0.0003343055649764048
bugless_if_not_code_files,3,[0],0.17097549394858477,0.17097549394858477,0.08399306194827469
bugless_if_many_files_changes,4,[0],0.046657428851054755,0.046657428851054755,0.01985968856287367
bugless_if_at_least_2_removed_files,5,[0],0.019462397891452436,0.019462397891452436,0.008905125049661334
all_files_test_fix,6,[0],4.845008188063838e-06,4.845008188063838e-06,0.0
refactoring_if_at_least_2_renamed,7,[0],0.012606711305342105,0.012606711305342105,0.005595984457213733
buggless_if_many_lines_changed,8,[0],0.002054283471739067,0.002054283471739067,0.0019622283161658542
no_files_have_modified_status,9,[0],0.04822721150398744,0.04822721150398744,0.021463386273122803
bug_message_keyword_bad,10,[1],0.0020252134226106844,0.0020252134226106844,0.0017102878903865347
bug_message_keyword_broken,11,[1],0.004631827827789029,0.004631827827789029,0.004200622099051347
bug_message_keyword_bug,12,[1],0.03240341476177095,0.03240341476177095,0.027311311156115854
bug_message_keyword_close,13,[1],0.038382154865841726,0.038382154865841726,0.03425420788961133
bug_message_keyword_concurr,14,[1],0.0005474859252512137,0.0005474859252512137,0.0005232608843108945
bug_message_keyword_correct,15,[1],0.016589308035930582,0.016589308035930582,0.0142152540237793
bug_message_keyword_corrupt,16,[1],0.0005329509006870222,0.0005329509006870222,0.00044574075330187305
bug_message_keyword_crash,17,[1],0.0045058576148993695,0.0045058576148993695,0.0036579811819881978
bug_message_keyword_deadlock,18,[1],0.0003439955813525325,0.0003439955813525325,0.0003246155486002771
bug_message_keyword_defect,19,[1],0.0005426409170631499,0.0005426409170631499,0.00040213567960929855
bug_message_keyword_disabl,20,[1],0.00800395352668146,0.00800395352668146,0.007097936995513522
bug_message_keyword_endless,21,[1],0.00016957528658223433,0.00016957528658223433,0.00013081522107772362
bug_message_keyword_ensur,22,[1],0.006201610480721712,0.006201610480721712,0.0055184643262047115
bug_message_keyword_error,23,[1],0.027064215738524598,0.027064215738524598,0.022829678582156804
bug_message_keyword_except,24,[1],0.006206455488909776,0.006206455488909776,0.005329509006870222
bug_message_keyword_fail,25,[1],0.014462349441370556,0.014462349441370556,0.013076677099584297
bug_message_keyword_bugfix,26,[1],0.25669822381999824,0.25669822381999824,0.21125689202414752
bug_message_keyword_garbag,27,[1],0.0002180253684628727,0.0002180253684628727,0.0001938003275225535
bug_message_keyword_handl,28,[1],0.014704599850773747,0.014704599850773747,0.012810201649240786
bug_message_keyword_incomplet,29,[1],0.0006831461545170011,0.0006831461545170011,0.0006395410808244266
bug_message_keyword_inconsist,30,[1],0.0006637661217647457,0.0006637661217647457,0.0006056260235079797
bug_message_keyword_incorrect,31,[1],0.0029506099865308773,0.0029506099865308773,0.0025242492659812597
bug_message_keyword_infinit,32,[1],0.0007412862527737672,0.0007412862527737672,0.0006153160398841074
bug_message_keyword_invalid,33,[1],0.003464180854465644,0.003464180854465644,0.0031104952567369837
bug_message_keyword_issue,34,[],0.0,0.0,0.0
bug_message_keyword_leak,35,[1],0.0014777274973594705,0.0014777274973594705,0.0011482669405711297
bug_message_keyword_loop,36,[1],0.0025533193151096424,0.0025533193151096424,0.0022432387910735568
bug_message_keyword_minor,37,[1],0.007485537650558629,0.007485537650558629,0.006482620955629415
bug_message_keyword_mistak,38,[1],0.001104661866878555,0.001104661866878555,0.0010126067113053422
bug_message_keyword_npe,39,[1],0.001996143373482301,0.001996143373482301,0.0016715278248820241
bug_message_keyword_not|work,40,[1],0.0024031240612796636,0.0024031240612796636,0.0020785085126793865
bug_message_keyword_not|return,41,[1],0.00031008052403608564,0.00031008052403608564,0.00024225040940319188
bug_message_keyword_of|bound,42,[1],0.000179265302958362,0.000179265302958362,0.00015019525382997898
bug_message_keyword_patch,43,[1],0.01200593029002219,0.01200593029002219,0.010872198374015252
bug_message_keyword_prevent,44,[1],0.0060368802023275416,0.0060368802023275416,0.005256833884049264
bug_message_keyword_problem,45,[1],0.007567902789755714,0.007567902789755714,0.00662797120127133
bug_message_keyword_properli,46,[1],0.004786868089807072,0.004786868089807072,0.004195777090863283
bug_message_keyword_race|condit,47,[1],0.0006395410808244266,0.0006395410808244266,0.0005571759416273413
bug_message_keyword_repair,48,[1],0.00025194042577931955,0.00025194042577931955,0.00022287037665093653
bug_message_keyword_resolv,49,[1],0.011119293791606508,0.011119293791606508,0.009743311466196378
bug_message_keyword_threw,50,[1],0.0027325846180680045,0.0027325846180680045,0.002470954175912557
