,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer,0,"[0, 1]",1.0,0.928,0.5386666666666666,241,134,0.6426666666666667
bugless_if_at_least_5_added_files,1,[0],0.024,0.024,0.016,8,1,0.8888888888888888
all_files_test_add,2,[0],0.013333333333333334,0.013333333333333334,0.0026666666666666666,5,0,1.0
bugless_if_not_code_files,3,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,4,[0],0.042666666666666665,0.042666666666666665,0.021333333333333333,15,1,0.9375
bugless_if_at_least_2_removed_files,5,[0],0.016,0.016,0.005333333333333333,5,1,0.8333333333333333
all_files_test_fix,6,[0],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
refactoring_if_at_least_2_renamed,7,[0],0.008,0.008,0.005333333333333333,3,0,1.0
buggless_if_many_lines_changed,8,[0],0.224,0.224,0.112,70,14,0.8333333333333333
no_files_have_modified_status,9,[0],0.021333333333333333,0.021333333333333333,0.0026666666666666666,8,0,1.0
bug_message_keyword_bad,10,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,12,[1],0.06133333333333333,0.06133333333333333,0.04533333333333334,19,4,0.8260869565217391
bug_message_keyword_close,13,[1],0.042666666666666665,0.042666666666666665,0.037333333333333336,8,8,0.5
bug_message_keyword_concurr,14,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,15,[1],0.021333333333333333,0.021333333333333333,0.021333333333333333,5,3,0.625
bug_message_keyword_corrupt,16,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bug_message_keyword_crash,17,[1],0.016,0.016,0.010666666666666666,4,2,0.6666666666666666
bug_message_keyword_deadlock,18,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,20,[1],0.005333333333333333,0.005333333333333333,0.0,1,1,0.5
bug_message_keyword_endless,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,22,[1],0.0026666666666666666,0.0026666666666666666,0.0,0,1,0.0
bug_message_keyword_error,23,[1],0.05333333333333334,0.05333333333333334,0.034666666666666665,11,9,0.55
bug_message_keyword_except,24,[1],0.005333333333333333,0.005333333333333333,0.005333333333333333,2,0,1.0
bug_message_keyword_fail,25,[1],0.021333333333333333,0.021333333333333333,0.013333333333333334,5,3,0.625
bug_message_keyword_bugfix,26,[1],0.4,0.4,0.2853333333333333,114,36,0.76
bug_message_keyword_garbag,27,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,28,[1],0.042666666666666665,0.042666666666666665,0.04,8,8,0.5
bug_message_keyword_incomplet,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,30,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_incorrect,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,32,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_invalid,33,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_issue,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,35,[1],0.018666666666666668,0.018666666666666668,0.008,7,0,1.0
bug_message_keyword_loop,36,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_minor,37,[1],0.013333333333333334,0.013333333333333334,0.010666666666666666,1,4,0.2
bug_message_keyword_mistak,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,39,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_not|work,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,41,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_of|bound,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,43,[1],0.018666666666666668,0.018666666666666668,0.016,3,4,0.4285714285714286
bug_message_keyword_prevent,44,[1],0.008,0.008,0.008,2,1,0.6666666666666666
bug_message_keyword_problem,45,[1],0.021333333333333333,0.021333333333333333,0.016,7,1,0.875
bug_message_keyword_properli,46,[1],0.013333333333333334,0.013333333333333334,0.008,5,0,1.0
bug_message_keyword_race|condit,47,[1],0.008,0.008,0.008,3,0,1.0
bug_message_keyword_repair,48,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_resolv,49,[1],0.018666666666666668,0.018666666666666668,0.016,2,5,0.2857142857142857
bug_message_keyword_threw,50,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,51,[1],0.013333333333333334,0.013333333333333334,0.010666666666666666,3,2,0.6
bug_message_keyword_unabl,52,[1],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0,1,0.0
bug_message_keyword_unclos,53,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,54,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,55,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,56,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,57,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_abil,58,[0],0.021333333333333333,0.021333333333333333,0.016,6,2,0.75
bugless_message_keyword_ad,59,[0],0.09866666666666667,0.09866666666666667,0.056,31,6,0.8378378378378378
bugless_message_keyword_add,60,[0],0.11733333333333333,0.11733333333333333,0.07466666666666667,34,10,0.7727272727272727
bugless_message_keyword_addit,61,[0],0.008,0.008,0.0026666666666666666,3,0,1.0
bugless_message_keyword_allow,62,[0],0.016,0.016,0.010666666666666666,5,1,0.8333333333333333
bugless_message_keyword_analysi,63,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_avoid,64,[0],0.008,0.008,0.008,0,3,0.0
bugless_message_keyword_baselin,65,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,66,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,67,[0],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_better,68,[0],0.02666666666666667,0.02666666666666667,0.024,10,0,1.0
bugless_message_keyword_bump,69,[0],0.010666666666666666,0.010666666666666666,0.010666666666666666,4,0,1.0
bugless_message_keyword_chang|log,70,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_clean,71,[0],0.034666666666666665,0.034666666666666665,0.024,11,2,0.8461538461538461
bugless_message_keyword_comment,72,[0],0.021333333333333333,0.021333333333333333,0.013333333333333334,7,1,0.875
bugless_message_keyword_complet,73,[0],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bugless_message_keyword_configur|chang,74,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,75,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_convert,76,[0],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_coverag,77,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_create,78,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,79,[0],0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,1,0,1.0
bugless_message_keyword_develop,80,[0],0.005333333333333333,0.005333333333333333,0.0,2,0,1.0
bugless_message_keyword_doc,81,[0],0.02666666666666667,0.02666666666666667,0.016,9,1,0.9
bugless_message_keyword_drop,82,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_enhanc,83,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_exampl,84,[0],0.010666666666666666,0.010666666666666666,0.008,3,1,0.75
bugless_message_keyword_exclud,85,[0],0.008,0.008,0.008,2,1,0.6666666666666666
bugless_message_keyword_expand,86,[0],0.008,0.008,0.005333333333333333,3,0,1.0
bugless_message_keyword_extendgener,87,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,88,[0],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_forget,89,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_format,90,[0],0.013333333333333334,0.013333333333333334,0.010666666666666666,4,1,0.8
bugless_message_keyword_gitignor,91,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_idea,92,[0],0.016,0.016,0.016,5,1,0.8333333333333333
bugless_message_keyword_implement,93,[0],0.018666666666666668,0.018666666666666668,0.016,7,0,1.0
bugless_message_keyword_improv,94,[0],0.021333333333333333,0.021333333333333333,0.010666666666666666,5,3,0.625
bugless_message_keyword_includ,95,[0],0.02666666666666667,0.02666666666666667,0.018666666666666668,7,3,0.7
bugless_message_keyword_info,96,[0],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bugless_message_keyword_intorduc,97,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,98,[0],0.008,0.008,0.008,0,3,0.0
