,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer,0,"[0, 1]",1.0,0.8773804897007385,0.4279051690633502,3337,1809,0.6484648270501361
bugless_if_at_least_5_added_files,1,[0],0.04003109211037699,0.04003109211037699,0.008550330353672756,198,8,0.9611650485436893
all_files_test_add,2,[0],0.001748931208705791,0.001748931208705791,0.0013602798289933929,4,5,0.4444444444444444
bugless_if_not_code_files,3,[0],0.017877963466770307,0.017877963466770307,0.008744656043528955,67,25,0.7282608695652174
bugless_if_many_files_changes,4,[0],0.10085503303536728,0.10085503303536728,0.027594247959580258,491,28,0.9460500963391136
bugless_if_at_least_2_removed_files,5,[0],0.022736105713175282,0.022736105713175282,0.006218422075398368,108,9,0.9230769230769231
all_files_test_fix,6,[0],0.000388651379712398,0.000388651379712398,0.000194325689856199,2,0,1.0
refactoring_if_at_least_2_renamed,7,[0],0.02098717450446949,0.02098717450446949,0.006801399144966964,104,4,0.962962962962963
buggless_if_many_lines_changed,8,[0],0.3651379712397979,0.3651379712397979,0.14593859308200544,1492,387,0.7940393826503459
no_files_have_modified_status,9,[0],0.02118150019432569,0.02118150019432569,0.005052467936261173,93,16,0.8532110091743119
bug_message_keyword_bad,10,[1],0.00388651379712398,0.00388651379712398,0.002137582588418189,13,7,0.65
bug_message_keyword_broken,11,[1],0.004275165176836378,0.004275165176836378,0.0027205596579867857,14,8,0.6363636363636364
bug_message_keyword_bug,12,[1],0.1352506801399145,0.1352506801399145,0.09910610182666149,380,316,0.5459770114942528
bug_message_keyword_close,13,[1],0.016906335017489314,0.016906335017489314,0.011076564321803343,58,29,0.6666666666666666
bug_message_keyword_concurr,14,[1],0.00777302759424796,0.00777302759424796,0.007190050524679362,27,13,0.675
bug_message_keyword_correct,15,[1],0.01729498639720171,0.01729498639720171,0.013991449669646328,57,32,0.6404494382022472
bug_message_keyword_corrupt,16,[1],0.004858142246404975,0.004858142246404975,0.004080839486980179,20,5,0.8
bug_message_keyword_crash,17,[1],0.001165954139137194,0.001165954139137194,0.000777302759424796,5,1,0.8333333333333333
bug_message_keyword_deadlock,18,[1],0.005441119315973571,0.005441119315973571,0.004858142246404975,28,0,1.0
bug_message_keyword_defect,19,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_disabl,20,[1],0.005635445005829771,0.005635445005829771,0.004663816556548776,12,17,0.41379310344827586
bug_message_keyword_endless,21,[1],0.000971628449280995,0.000971628449280995,0.000194325689856199,5,0,1.0
bug_message_keyword_ensur,22,[1],0.003109211037699184,0.003109211037699184,0.0025262339681305867,11,5,0.6875
bug_message_keyword_error,23,[1],0.017100660707345512,0.017100660707345512,0.013797123979790129,42,46,0.4772727272727273
bug_message_keyword_except,24,[1],0.028371550719005052,0.028371550719005052,0.0192382432957637,80,66,0.547945205479452
bug_message_keyword_fail,25,[1],0.04391760590750097,0.04391760590750097,0.03284104158569763,131,95,0.5796460176991151
bug_message_keyword_bugfix,26,[1],0.22172561212592304,0.22172561212592304,0.16537116206762534,664,477,0.581945661700263
bug_message_keyword_garbag,27,[1],0.003303536727555383,0.003303536727555383,0.0027205596579867857,9,8,0.5294117647058824
bug_message_keyword_handl,28,[1],0.020792848814613293,0.020792848814613293,0.017683637776914108,51,56,0.4766355140186916
bug_message_keyword_incomplet,29,[1],0.0013602798289933929,0.0013602798289933929,0.001165954139137194,4,3,0.5714285714285714
bug_message_keyword_inconsist,30,[1],0.004663816556548776,0.004663816556548776,0.003692188107267781,18,6,0.75
bug_message_keyword_incorrect,31,[1],0.009133307423241352,0.009133307423241352,0.0075787019043917605,32,15,0.6808510638297872
bug_message_keyword_infinit,32,[1],0.0025262339681305867,0.0025262339681305867,0.001554605518849592,10,3,0.7692307692307692
bug_message_keyword_invalid,33,[1],0.006607073455110766,0.006607073455110766,0.004663816556548776,26,8,0.7647058823529411
bug_message_keyword_issue,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,35,[1],0.00388651379712398,0.00388651379712398,0.0027205596579867857,15,5,0.75
bug_message_keyword_loop,36,[1],0.006218422075398368,0.006218422075398368,0.003109211037699184,23,9,0.71875
bug_message_keyword_minor,37,[1],0.007384376214535562,0.007384376214535562,0.007384376214535562,14,24,0.368421052631579
bug_message_keyword_mistak,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,39,[1],0.013019821220365333,0.013019821220365333,0.007967353284104159,62,5,0.9253731343283582
bug_message_keyword_not|work,40,[1],0.0058297706956859695,0.0058297706956859695,0.004663816556548776,23,7,0.7666666666666666
bug_message_keyword_not|return,41,[1],0.00194325689856199,0.00194325689856199,0.001165954139137194,9,1,0.9
bug_message_keyword_of|bound,42,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_patch,43,[1],0.07112320248736884,0.07112320248736884,0.05888068402642829,129,237,0.3524590163934426
bug_message_keyword_prevent,44,[1],0.009521958802953751,0.009521958802953751,0.006995724834823164,31,18,0.6326530612244898
bug_message_keyword_problem,45,[1],0.012048192771084338,0.012048192771084338,0.00971628449280995,41,21,0.6612903225806451
bug_message_keyword_properli,46,[1],0.008356004663816556,0.008356004663816556,0.006607073455110766,28,15,0.6511627906976745
bug_message_keyword_race|condit,47,[1],0.000971628449280995,0.000971628449280995,0.000777302759424796,3,2,0.6
bug_message_keyword_repair,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,49,[1],0.006995724834823164,0.006995724834823164,0.006412747765254567,13,23,0.3611111111111111
bug_message_keyword_threw,50,[1],0.026039642440730666,0.026039642440730666,0.017683637776914108,95,39,0.708955223880597
