,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer,0,"[0, 1]",1.0,0.8955613577023499,0.4656222802436902,687,462,0.597911227154047
all_files_test_add,1,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
all_files_test_fix,2,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
buggless_if_many_lines_changed,3,[0],0.26457789382071367,0.26457789382071367,0.12097476066144473,220,84,0.7236842105263158
bugless_if_at_least_2_removed_files,4,[0],0.010443864229765013,0.010443864229765013,0.0034812880765883376,9,3,0.75
bugless_if_at_least_5_added_files,5,[0],0.02959094865100087,0.02959094865100087,0.012184508268059183,26,8,0.7647058823529411
bugless_if_many_files_changes,6,[0],0.05918189730200174,0.05918189730200174,0.02610966057441253,55,13,0.8088235294117647
bugless_if_not_code_files,7,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,8,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,9,[0],0.01392515230635335,0.01392515230635335,0.004351610095735422,16,0,1.0
bug_message_keyword_bad,10,[1],0.004351610095735422,0.004351610095735422,0.0034812880765883376,4,1,0.8
bug_message_keyword_broken,11,[1],0.006962576153176675,0.006962576153176675,0.006962576153176675,7,1,0.875
bug_message_keyword_bug,12,[1],0.028720626631853787,0.028720626631853787,0.022628372497824196,32,1,0.9696969696969697
bug_message_keyword_close,13,[1],0.040905134899912966,0.040905134899912966,0.034812880765883375,21,26,0.44680851063829785
bug_message_keyword_concurr,14,[1],0.006092254134029591,0.006092254134029591,0.005221932114882507,3,4,0.4285714285714286
bug_message_keyword_correct,15,[1],0.012184508268059183,0.012184508268059183,0.009573542210617928,11,3,0.7857142857142857
bug_message_keyword_corrupt,16,[1],0.0026109660574412533,0.0026109660574412533,0.0008703220191470844,2,1,0.6666666666666666
bug_message_keyword_crash,17,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_deadlock,18,[1],0.0034812880765883376,0.0034812880765883376,0.0026109660574412533,4,0,1.0
bug_message_keyword_defect,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,20,[1],0.006092254134029591,0.006092254134029591,0.006092254134029591,4,3,0.5714285714285714
bug_message_keyword_endless,21,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_ensur,22,[1],0.004351610095735422,0.004351610095735422,0.0034812880765883376,5,0,1.0
bug_message_keyword_error,23,[1],0.02610966057441253,0.02610966057441253,0.020017406440382943,19,11,0.6333333333333333
bug_message_keyword_except,24,[1],0.020017406440382943,0.020017406440382943,0.013054830287206266,14,9,0.6086956521739131
bug_message_keyword_fail,25,[1],0.04264577893820714,0.04264577893820714,0.03655352480417755,39,10,0.7959183673469388
bug_message_keyword_bugfix,26,[1],0.2689295039164491,0.2689295039164491,0.20278503046127067,278,31,0.8996763754045307
bug_message_keyword_garbag,27,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,1,1,0.5
bug_message_keyword_handl,28,[1],0.02175805047867711,0.02175805047867711,0.018276762402088774,13,12,0.52
bug_message_keyword_incomplet,29,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,30,[1],0.0017406440382941688,0.0017406440382941688,0.0017406440382941688,2,0,1.0
bug_message_keyword_incorrect,31,[1],0.0008703220191470844,0.0008703220191470844,0.0008703220191470844,1,0,1.0
bug_message_keyword_infinit,32,[1],0.0017406440382941688,0.0017406440382941688,0.0008703220191470844,2,0,1.0
bug_message_keyword_invalid,33,[1],0.0034812880765883376,0.0034812880765883376,0.0017406440382941688,2,2,0.5
bug_message_keyword_issue,34,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,35,[1],0.004351610095735422,0.004351610095735422,0.004351610095735422,5,0,1.0
