,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,2,[1],0.06133333333333333,0.06133333333333333,0.034666666666666665,19,4,0.8260869565217391
bug_message_keyword_close,3,[1],0.042666666666666665,0.037333333333333336,0.034666666666666665,8,8,0.5
bug_message_keyword_concurr,4,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,5,[1],0.021333333333333333,0.018666666666666668,0.013333333333333334,5,3,0.625
bug_message_keyword_corrupt,6,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_crash,7,[1],0.016,0.016,0.010666666666666666,4,2,0.6666666666666666
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.005333333333333333,0.0026666666666666666,0.0,1,1,0.5
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[1],0.0026666666666666666,0.0,0.0,0,1,0.0
bug_message_keyword_error,13,[1],0.050666666666666665,0.04533333333333334,0.024,11,8,0.5789473684210527
bug_message_keyword_except,14,[1],0.005333333333333333,0.005333333333333333,0.0026666666666666666,2,0,1.0
bug_message_keyword_fail,15,[1],0.021333333333333333,0.018666666666666668,0.010666666666666666,5,3,0.625
bug_message_keyword_bugfix,16,[1],0.384,0.264,0.184,111,33,0.7708333333333333
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.042666666666666665,0.042666666666666665,0.032,8,8,0.5
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
bug_message_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,22,[1],0.0026666666666666666,0.0026666666666666666,0.0,1,0,1.0
