,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_body_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,2,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,3,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,4,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,5,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,6,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,7,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,10,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,51,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,52,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,53,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,54,[1],0.0625,0.0625,0.03409090909090909,18,4,0.8181818181818181
bug_message_keyword_close,55,[1],0.045454545454545456,0.03977272727272727,0.036931818181818184,8,8,0.5
bug_message_keyword_concurr,56,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,57,[1],0.017045454545454544,0.017045454545454544,0.011363636363636364,4,2,0.6666666666666666
bug_message_keyword_corrupt,58,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_crash,59,[1],0.017045454545454544,0.017045454545454544,0.011363636363636364,4,2,0.6666666666666666
bug_message_keyword_deadlock,60,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,61,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,62,[1],0.005681818181818182,0.002840909090909091,0.0,1,1,0.5
bug_message_keyword_endless,63,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,64,[1],0.002840909090909091,0.0,0.0,0,1,0.0
bug_message_keyword_error,65,[1],0.056818181818181816,0.05113636363636364,0.028409090909090908,11,9,0.55
bug_message_keyword_except,66,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_fail,67,[1],0.022727272727272728,0.019886363636363636,0.011363636363636364,5,3,0.625
bug_message_keyword_bugfix,68,[1],0.39204545454545453,0.2897727272727273,0.19886363636363635,109,29,0.7898550724637681
bug_message_keyword_garbag,69,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,70,[1],0.04261363636363636,0.04261363636363636,0.03125,7,8,0.4666666666666667
bug_message_keyword_incomplet,71,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,72,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_incorrect,73,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,74,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_invalid,75,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_issue,76,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,77,[1],0.019886363636363636,0.019886363636363636,0.008522727272727272,7,0,1.0
bug_message_keyword_loop,78,[1],0.005681818181818182,0.005681818181818182,0.002840909090909091,2,0,1.0
bug_message_keyword_minor,79,[1],0.014204545454545454,0.011363636363636364,0.011363636363636364,1,4,0.2
bug_message_keyword_mistak,80,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,81,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_not|work,82,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_not|return,83,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_of|bound,84,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,85,[1],0.019886363636363636,0.014204545454545454,0.011363636363636364,3,4,0.4285714285714286
bug_message_keyword_prevent,86,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,2,1,0.6666666666666666
bug_message_keyword_problem,87,[1],0.022727272727272728,0.022727272727272728,0.011363636363636364,7,1,0.875
bug_message_keyword_properli,88,[1],0.014204545454545454,0.005681818181818182,0.002840909090909091,5,0,1.0
bug_message_keyword_race|condit,89,[1],0.008522727272727272,0.008522727272727272,0.008522727272727272,3,0,1.0
bug_message_keyword_repair,90,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bug_message_keyword_resolv,91,[1],0.019886363636363636,0.019886363636363636,0.014204545454545454,2,5,0.2857142857142857
bug_message_keyword_threw,92,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,93,[1],0.014204545454545454,0.014204545454545454,0.005681818181818182,3,2,0.6
bug_message_keyword_unabl,94,[1],0.002840909090909091,0.002840909090909091,0.002840909090909091,0,1,0.0
bug_message_keyword_unclos,95,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,96,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,97,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,98,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,99,[1],0.002840909090909091,0.002840909090909091,0.0,1,0,1.0
bugless_message_keyword_abil,100,[0],0.022727272727272728,0.017045454545454544,0.014204545454545454,6,2,0.75
