,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,2,[1],0.05660377358490566,0.05660377358490566,0.031446540880503145,8,1,0.8888888888888888
bug_message_keyword_close,3,[1],0.031446540880503145,0.025157232704402517,0.025157232704402517,2,3,0.4
bug_message_keyword_concurr,4,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,5,[1],0.012578616352201259,0.012578616352201259,0.006289308176100629,1,1,0.5
bug_message_keyword_corrupt,6,[1],0.006289308176100629,0.006289308176100629,0.0,1,0,1.0
bug_message_keyword_crash,7,[1],0.006289308176100629,0.006289308176100629,0.006289308176100629,0,1,0.0
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_error,13,[1],0.050314465408805034,0.0440251572327044,0.031446540880503145,1,7,0.125
bug_message_keyword_except,14,[1],0.012578616352201259,0.012578616352201259,0.006289308176100629,2,0,1.0
bug_message_keyword_fail,15,[1],0.012578616352201259,0.006289308176100629,0.006289308176100629,2,0,1.0
bug_message_keyword_bugfix,16,[1],0.3081761006289308,0.2389937106918239,0.1761006289308176,34,15,0.6938775510204082
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.06918238993710692,0.06918238993710692,0.05660377358490566,4,7,0.36363636363636365
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,22,[],0.0,0.0,0.0,0,0,0.0
