,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.0020252134226106844,0.0018750181687807053,0.0014147423909146406
bug_message_keyword_broken,1,[1],0.004631827827789029,0.004375042393821645,0.0034157307725850056
bug_message_keyword_bug,2,[1],0.03240341476177095,0.030542931617554434,0.021182375798215098
bug_message_keyword_close,3,[1],0.038382154865841726,0.03536371476467795,0.029404354693359433
bug_message_keyword_concurr,4,[1],0.0005474859252512137,0.0004893458269944476,0.00044574075330187305
bug_message_keyword_correct,5,[1],0.016589308035930582,0.013580557951142937,0.0109061134313317
bug_message_keyword_corrupt,6,[1],0.0005329509006870222,0.000508725859746703,0.0003779106386689794
bug_message_keyword_crash,7,[1],0.0045058576148993695,0.004321747303752944,0.0031250302813011755
bug_message_keyword_deadlock,8,[1],0.0003439955813525325,0.00033915057316446866,0.00031008052403608564
bug_message_keyword_defect,9,[1],0.0005426409170631499,0.0004263607205496177,0.00028101047490770257
bug_message_keyword_disabl,10,[1],0.00800395352668146,0.006608591168519075,0.005605674473589861
bug_message_keyword_endless,11,[1],0.00016957528658223433,0.00015504026201804282,0.00011143518832546826
bug_message_keyword_ensur,12,[1],0.006201610480721712,0.005639589530906307,0.004903148286320604
bug_message_keyword_error,13,[1],0.027064215738524598,0.025329702807197745,0.019031192162714754
bug_message_keyword_except,14,[1],0.006206455488909776,0.00579462979292435,0.004680277909669668
bug_message_keyword_fail,15,[1],0.014462349441370556,0.013469122762817469,0.011603794610412891
bug_message_keyword_bugfix,16,[1],0.25669822381999824,0.19671217744357988,0.15822343239760076
bug_message_keyword_garbag,17,[1],0.0002180253684628727,0.00021318036027480886,0.00015988527020610664
bug_message_keyword_handl,18,[1],0.014704599850773747,0.01338191261543232,0.01102239362784523
bug_message_keyword_incomplet,19,[1],0.0006831461545170011,0.0006153160398841074,0.0005571759416273413
bug_message_keyword_inconsist,20,[1],0.0006637661217647457,0.0006298510644482989,0.0005474859252512137
bug_message_keyword_incorrect,21,[1],0.0029506099865308773,0.002829484781829281,0.0022480837992616205
