,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.00249902909342654,0.002347061108015467,0.0021275517957550275,126,22,0.8513513513513513
bug_message_keyword_broken,1,[1],0.0055721594650726914,0.005301994157675228,0.004660351552606251,213,117,0.6454545454545455
bug_message_keyword_bug,2,[1],0.04174053999290816,0.0396805295240025,0.03127163433125644,2129,343,0.8612459546925566
bug_message_keyword_close,3,[1],0.049693531229421,0.04682302483832295,0.04109889738783919,2160,783,0.7339449541284404
bug_message_keyword_concurr,4,[1],0.0008104959221923915,0.0007767252587677085,0.0006754132684936595,26,22,0.5416666666666666
bug_message_keyword_correct,5,[1],0.02019485672796042,0.018168616922479442,0.01585532647788866,836,360,0.6989966555183946
bug_message_keyword_corrupt,6,[1],0.0006416426050689766,0.0006416426050689766,0.0005403306147949276,35,3,0.9210526315789473
bug_message_keyword_crash,7,[1],0.00430575958664708,0.004204447596373031,0.003444607669317664,235,20,0.9215686274509804
bug_message_keyword_deadlock,8,[1],0.0005234452830825861,0.0005065599513702447,0.0004727892879455617,20,11,0.6451612903225806
bug_message_keyword_defect,9,[1],0.0007091839319183426,0.0005572159465072692,0.0004390186245208787,39,3,0.9285714285714286
bug_message_keyword_disabl,10,[1],0.008577748509869476,0.007952991236512842,0.00748020194856728,219,289,0.4311023622047244
bug_message_keyword_endless,11,[1],0.00023639464397278085,0.00021950931226043935,0.0001519679854110734,11,3,0.7857142857142857
bug_message_keyword_ensur,12,[1],0.0077334819242524016,0.007412660621717914,0.006855444675210645,320,138,0.6986899563318777
bug_message_keyword_error,13,[1],0.03062999172618746,0.029397362511186534,0.02517602958310116,1418,396,0.7816979051819184
bug_message_keyword_except,14,[1],0.007581513938841328,0.007277577968019182,0.006399540718977424,328,121,0.7305122494432071
bug_message_keyword_fail,15,[1],0.015500734511929487,0.014825321243435828,0.013356297384462118,557,361,0.6067538126361656
bug_message_keyword_bugfix,16,[1],0.2657920064839674,0.22065751481687856,0.18930145382706043,12435,3306,0.7899752239374881
bug_message_keyword_garbag,17,[1],0.00037147729767151276,0.00037147729767151276,0.0002870506391098053,11,11,0.5
bug_message_keyword_handl,18,[1],0.023403069753305302,0.02191716056261925,0.019435016800905053,968,418,0.6984126984126984
bug_message_keyword_incomplet,19,[1],0.0011650878881515627,0.0010468905661651722,0.0009962345710281479,45,24,0.6521739130434783
bug_message_keyword_inconsist,20,[1],0.0009962345710281479,0.0009962345710281479,0.0009118079124664405,51,8,0.8644067796610169
bug_message_keyword_incorrect,21,[1],0.003241983688769566,0.0031744423619202,0.002870506391098053,172,20,0.8958333333333333
bug_message_keyword_infinit,22,[1],0.0009793492393158063,0.0009624639076034649,0.0008104959221923915,39,19,0.6724137931034483
bug_message_keyword_invalid,23,[1],0.004136906269523665,0.004069364942674299,0.003664116981578103,186,59,0.7591836734693878
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0019080424834945883,0.0018573864883575637,0.0014352531955490265,102,11,0.9026548672566372
