,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.002276475343573161,0.0021083265966046886,0.0016168148746968471
bug_message_keyword_broken,1,[1],0.004869846402586904,0.004637025060630558,0.0036022635408245757
bug_message_keyword_bug,2,[1],0.031295068714632175,0.029322554567502022,0.01931123686337914
bug_message_keyword_close,3,[1],0.04657073565076799,0.04315602263540825,0.036177849636216654
bug_message_keyword_concurr,4,[1],0.0005949878738884397,0.0005432497978981407,0.0004915117219078416
bug_message_keyword_correct,5,[1],0.018871463217461602,0.015379143088116411,0.012481810832659661
bug_message_keyword_corrupt,6,[1],0.0006143896523848019,0.000582053354890865,0.00043977364591754245
bug_message_keyword_crash,7,[1],0.005018593371059013,0.00480517380759903,0.003459983831851253
bug_message_keyword_deadlock,8,[1],0.00038156831042845593,0.00037510105092966855,0.0003427647534357316
bug_message_keyword_defect,9,[1],0.000116410670978173,0.00010347615198059821,7.760711398544866e-05
bug_message_keyword_disabl,10,[1],0.009144704931285368,0.0075472918350848826,0.006421988682295877
bug_message_keyword_endless,11,[1],0.00018755052546483427,0.0001746160064672595,0.0001228779304769604
bug_message_keyword_ensur,12,[1],0.007172190784155214,0.006499595796281326,0.005710590137429265
bug_message_keyword_error,13,[1],0.029924009700889247,0.027893290218270007,0.021167340339531125
bug_message_keyword_except,14,[1],0.006907033144704931,0.006447857720291027,0.00527728375101051
bug_message_keyword_fail,15,[1],0.015786580436540017,0.014583670169765563,0.012475343573160873
bug_message_keyword_bugfix,16,[1],0.27269846402586906,0.2076378334680679,0.16792239288601454
bug_message_keyword_garbag,17,[1],0.00023928860145513338,0.00023928860145513338,0.0001810832659660469
bug_message_keyword_handl,18,[1],0.016685529506871462,0.01510751818916734,0.012578819725141471
bug_message_keyword_incomplet,19,[1],0.000847210994341148,0.0007566693613581245,0.0006919967663702506
bug_message_keyword_inconsist,20,[1],0.0007113985448666128,0.0006661277283751011,0.0005626515763945028
bug_message_keyword_incorrect,21,[1],0.003337105901374293,0.0031883589329021827,0.002528698464025869
bug_message_keyword_infinit,22,[1],0.0008730800323362975,0.000847210994341148,0.0006014551333872271
bug_message_keyword_invalid,23,[1],0.0039062247372675827,0.003738075990299111,0.0030719482619240095
bug_message_keyword_issue,24,[],0.0,0.0,0.0
bug_message_keyword_leak,25,[1],0.0015909458367016976,0.001493936944219887,0.000931285367825384
bug_message_keyword_loop,26,[1],0.002955537590945837,0.0027679870654810025,0.0022635408245755863
bug_message_keyword_minor,27,[1],0.008562651576394503,0.0071139854486661274,0.0058334680679062246
