,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bugless_message_keyword_move,0,[0],0.029750479846449136,0.018234165067178502,0.009596928982725527,24,7,0.7741935483870968
bugless_message_keyword_refactor,1,[0],0.016314779270633396,0.003838771593090211,0.0,17,0,1.0
bugless_message_keyword_renam,2,[0],0.007677543186180422,0.005758157389635317,0.0019193857965451055,7,1,0.875
bugless_message_keyword_reorgan,3,[0],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bugless_message_keyword_restructur,4,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_rewrit,5,[0],0.0019193857965451055,0.0019193857965451055,0.0,2,0,1.0
bugless_message_keyword_simplif,6,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_simplifi,7,[0],0.003838771593090211,0.003838771593090211,0.0019193857965451055,3,1,0.75
bug_message_keyword_bad,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,9,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_bug,10,[1],0.02783109404990403,0.02399232245681382,0.015355086372360844,21,8,0.7241379310344828
bug_message_keyword_close,11,[1],0.014395393474088292,0.013435700575815739,0.011516314779270634,6,9,0.4
bug_message_keyword_concurr,12,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_correct,13,[1],0.011516314779270634,0.0067178502879078695,0.003838771593090211,6,6,0.5
bug_message_keyword_corrupt,14,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_crash,15,[1],0.0028790786948176585,0.0028790786948176585,0.0009596928982725527,3,0,1.0
bug_message_keyword_deadlock,16,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,17,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_disabl,18,[1],0.009596928982725527,0.0067178502879078695,0.0067178502879078695,0,10,0.0
bug_message_keyword_endless,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,20,[1],0.0067178502879078695,0.003838771593090211,0.0028790786948176585,3,4,0.4285714285714286
bug_message_keyword_error,21,[1],0.029750479846449136,0.025911708253358926,0.015355086372360844,17,14,0.5483870967741935
bug_message_keyword_except,22,[1],0.003838771593090211,0.003838771593090211,0.0019193857965451055,1,3,0.25
bug_message_keyword_fail,23,[1],0.009596928982725527,0.008637236084452975,0.0067178502879078695,7,3,0.7
bug_message_keyword_bugfix,24,[1],0.1765834932821497,0.11324376199616124,0.08349328214971209,149,35,0.8097826086956521
bug_message_keyword_garbag,25,[1],0.0019193857965451055,0.0019193857965451055,0.0009596928982725527,2,0,1.0
bug_message_keyword_handl,26,[1],0.013435700575815739,0.01055662188099808,0.008637236084452975,6,8,0.4285714285714286
bug_message_keyword_incomplet,27,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,29,[1],0.003838771593090211,0.003838771593090211,0.0019193857965451055,2,2,0.5
bug_message_keyword_infinit,30,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_invalid,31,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_issue,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,33,[1],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bug_message_keyword_loop,34,[1],0.0019193857965451055,0.0009596928982725527,0.0009596928982725527,0,2,0.0
bug_message_keyword_minor,35,[1],0.008637236084452975,0.008637236084452975,0.003838771593090211,6,3,0.6666666666666666
bug_message_keyword_mistak,36,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,37,[1],0.0028790786948176585,0.0019193857965451055,0.0019193857965451055,2,1,0.6666666666666666
bug_message_keyword_not|work,38,[1],0.0028790786948176585,0.0019193857965451055,0.0,3,0,1.0
bug_message_keyword_not|return,39,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,40,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,41,[1],0.014395393474088292,0.014395393474088292,0.013435700575815739,3,12,0.2
bug_message_keyword_prevent,42,[1],0.005758157389635317,0.003838771593090211,0.0028790786948176585,4,2,0.6666666666666666
bug_message_keyword_problem,43,[1],0.007677543186180422,0.005758157389635317,0.0047984644913627635,6,2,0.75
bug_message_keyword_properli,44,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_race|condit,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,46,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,47,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,1,2,0.33333333333333337
bug_message_keyword_threw,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,49,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_unabl,50,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unclos,51,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,52,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,53,[1],0.0009596928982725527,0.0,0.0,0,1,0.0
bug_message_keyword_unsynchron,54,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,55,[1],0.007677543186180422,0.0047984644913627635,0.003838771593090211,5,3,0.625
bugless_issue_body_keyword_abil,56,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_ad,57,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_add,58,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_addit,59,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_allow,60,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_analysi,61,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_avoid,62,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_baselin,63,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_beautification,64,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_benchmark,65,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_better,66,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_bump,67,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_chang|log,68,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_clean,69,[],0.0,0.0,0.0,0,0,0.0
bugless_issue_body_keyword_comment,70,[],0.0,0.0,0.0,0,0,0.0
