sha,message,label,predicted,prob_CommitLabel.BugFix
0fb7d36f4dbda94889528823cd2130a12e4664ca,"Separate printing context chain method into its own method
change contextWorkingName to property workingName",CommitLabel.NonBugFix,-1,0.5
172ae58a8b89e71b5100f6435139b303edd4dd5e,More cleanup and docs,CommitLabel.NonBugFix,0,0.14
17f13f466f11f3b7990691a64764d2ad8f9f25a6,Support nested fields in embedded structs,CommitLabel.NonBugFix,0,0.24
17ac53d63e0e0c4326d628f798207f4e2bf513a2,some cosmetic refactorings,CommitLabel.NonBugFix,0,0.25
25d2a7a5c305b232a2d8fec3fa82f9e237fc4580,Allow callers to get data out in slices of pointers or values,CommitLabel.NonBugFix,0,0.34
30b9871ceef52cd43b830c058a3a3d34c36eb742,"add input body filter
http://rb.corp.taobao.com/r/22419/

git-svn-id: http://code.taobao.org/svn/tengine/trunk@16 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.NonBugFix,0,0.27
57c3226147127fc860fa7dec9ec60ec98bb01a79,PropEr now catches exits by default.,CommitLabel.NonBugFix,-1,0.5
974fff51e0d0c98b667700d2c517af4d40a2adee,"Add lazyness to infix operators (* + - etc)

In the test case I've replaced undefineds with a division by 0 due to
undefined not being in scope. I have also tested this by replacing the 1
and the 0 with undefined in the generated javascript and running it
through node manually",CommitLabel.NonBugFix,0,0.08
975a2fc86646f4afae2b8414a8457f5f52c935b5,"Make a global universeScope variable.

Also fixes all TODOs regarding ""return the real built-in type"" thing.",CommitLabel.NonBugFix,0,0.4
1837cbfa6728f5c46c1e7e135f9f6a4ef0da6836,"add identity for syslog
http://rb.corp.taobao.com/r/29643/


git-svn-id: http://code.taobao.org/svn/tengine/trunk@64 8a6cbc4f-5610-49f6-9325-3f9afe71ff98",CommitLabel.NonBugFix,0,0.27
18630203c44d34b04aa1bc94ca49f7759565954e,merge changes between nginx 1.2.6 and nginx 1.2.7,CommitLabel.NonBugFix,-1,0.5
18aa3c4c4d9f75508771a1887bb24ab35bf404a5,bringing back declaration and source mapping.,CommitLabel.NonBugFix,-1,0.5
161674bc2271df5dff314e6eb01e0438eaa4f874,Added Unit test for string to number conversion,CommitLabel.NonBugFix,0,0.06
16615300f51ad148e2dad619aaf8bfaf398f405f,add support for tunneling through http proxies,CommitLabel.NonBugFix,0,0.1
