,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bug,2,[1],0.06735751295336788,0.06735751295336788,0.03626943005181347,10,3,0.7692307692307692
bug_message_keyword_close,3,[1],0.05699481865284974,0.05181347150259067,0.046632124352331605,6,5,0.5454545454545454
bug_message_keyword_concurr,4,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_correct,5,[1],0.02072538860103627,0.02072538860103627,0.015544041450777202,3,1,0.75
bug_message_keyword_corrupt,6,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_crash,7,[1],0.025906735751295335,0.025906735751295335,0.015544041450777202,4,1,0.8
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.010362694300518135,0.0051813471502590676,0.0,1,1,0.5
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[1],0.0051813471502590676,0.0,0.0,0,1,0.0
bug_message_keyword_error,13,[1],0.06217616580310881,0.05699481865284974,0.025906735751295335,10,2,0.8333333333333333
bug_message_keyword_except,14,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_fail,15,[1],0.031088082901554404,0.031088082901554404,0.015544041450777202,3,3,0.5
bug_message_keyword_bugfix,16,[1],0.46113989637305697,0.3316062176165803,0.21761658031088082,75,14,0.8426966292134832
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.02072538860103627,0.02072538860103627,0.010362694300518135,3,1,0.75
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[1],0.0051813471502590676,0.0051813471502590676,0.0,1,0,1.0
bug_message_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
