,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.0020252134226106844,0.001850793127840386,0.0012160970552040234
bug_message_keyword_broken,1,[1],0.004631827827789029,0.004278142230060369,0.0029166949292144303
bug_message_keyword_bug,2,[1],0.03240341476177095,0.029888855512165816,0.016497252880357367
bug_message_keyword_close,3,[1],0.038382154865841726,0.03266504520392639,0.02247114797624008
bug_message_keyword_concurr,4,[1],0.0005474859252512137,0.00048450081880638377,0.00041667070417349003
bug_message_keyword_correct,5,[1],0.016589308035930582,0.013062142075020107,0.009084390352619695
bug_message_keyword_corrupt,6,[1],0.0005329509006870222,0.0005038808515586391,0.0003343055649764048
bug_message_keyword_crash,7,[1],0.0045058576148993695,0.004239382164555858,0.0023546739793990253
bug_message_keyword_deadlock,8,[1],0.0003439955813525325,0.0003246155486002771,0.00026163044215544724
bug_message_keyword_defect,9,[1],0.0005426409170631499,0.00033915057316446866,0.00018411031114642584
bug_message_keyword_disabl,10,[1],0.00800395352668146,0.006153160398841074,0.004762643048866752
bug_message_keyword_endless,11,[1],0.00016957528658223433,0.00015504026201804282,9.205515557321292e-05
bug_message_keyword_ensur,12,[1],0.006201610480721712,0.0052955939495537745,0.003972906714212347
bug_message_keyword_error,13,[1],0.027064215738524598,0.02438008120233723,0.015315070882469792
bug_message_keyword_except,14,[1],0.006206455488909776,0.005397339121503115,0.00358530605916724
bug_message_keyword_fail,15,[1],0.014462349441370556,0.013057297066832042,0.010431302628901443
bug_message_keyword_bugfix,16,[1],0.25669822381999824,0.1526855880386438,0.10693902072694503
bug_message_keyword_garbag,17,[1],0.0002180253684628727,0.00021318036027480886,0.00015504026201804282
bug_message_keyword_handl,18,[1],0.014704599850773747,0.012868341747497554,0.009186135524569037
bug_message_keyword_incomplet,19,[1],0.0006831461545170011,0.0005038808515586391,0.00043120572873768157
bug_message_keyword_inconsist,20,[1],0.0006637661217647457,0.0005910909989437882,0.000387600655045107
bug_message_keyword_incorrect,21,[1],0.0029506099865308773,0.0026163044215544726,0.001521332571052045
