,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.0023433979269941417,0.002163136547994592,0.0018927444794952682,20,6,0.7692307692307692
bug_message_keyword_broken,1,[1],0.005227579990986931,0.004957187922487607,0.004146011716989635,34,24,0.5862068965517242
bug_message_keyword_bug,2,[1],0.04100946372239748,0.03785488958990536,0.025326723749436682,399,56,0.8769230769230769
bug_message_keyword_close,3,[1],0.049031095087877424,0.04380351509689049,0.035060838215412345,410,134,0.7536764705882353
bug_message_keyword_concurr,4,[1],0.0004506534474988734,0.0003605227579990987,0.00018026137899954936,4,1,0.8
bug_message_keyword_correct,5,[1],0.021270842721946823,0.018747183415953134,0.01523208652546192,169,67,0.7161016949152542
bug_message_keyword_corrupt,6,[1],0.0008111762054979721,0.0008111762054979721,0.0006309148264984228,8,1,0.8888888888888888
bug_message_keyword_crash,7,[1],0.0045966651644885085,0.004416403785488959,0.003064443442992339,44,7,0.8627450980392157
bug_message_keyword_deadlock,8,[1],0.0003605227579990987,0.00018026137899954936,0.00018026137899954936,4,0,1.0
bug_message_keyword_defect,9,[1],0.0007210455159981974,0.0004506534474988734,0.0003605227579990987,7,1,0.875
bug_message_keyword_disabl,10,[1],0.008201892744479496,0.007300585849481749,0.006669671022983326,40,51,0.43956043956043955
bug_message_keyword_endless,11,[1],0.000270392068499324,0.000270392068499324,9.013068949977468e-05,2,1,0.6666666666666666
bug_message_keyword_ensur,12,[1],0.008201892744479496,0.007210455159981974,0.006128886885984678,64,27,0.7032967032967032
bug_message_keyword_error,13,[1],0.030914826498422712,0.028841820639927896,0.02235241099594412,256,87,0.7463556851311953
bug_message_keyword_except,14,[1],0.008021631365479946,0.007210455159981974,0.005768364127985579,67,22,0.752808988764045
bug_message_keyword_fail,15,[1],0.01523208652546192,0.014150518251464624,0.011897251013970257,101,68,0.5976331360946745
bug_message_keyword_bugfix,16,[1],0.2707525912573231,0.18026137899954936,0.14177557458314557,2368,636,0.7882822902796272
bug_message_keyword_garbag,17,[1],0.0003605227579990987,0.0003605227579990987,0.000270392068499324,2,2,0.5
bug_message_keyword_handl,18,[1],0.02406489409643984,0.021631365479945923,0.017485353762956287,187,80,0.7003745318352059
bug_message_keyword_incomplet,19,[1],0.0006309148264984228,0.0003605227579990987,0.00018026137899954936,6,1,0.8571428571428572
bug_message_keyword_inconsist,20,[1],0.0009914375844975213,0.0009013068949977468,0.0006309148264984228,9,2,0.8181818181818181
bug_message_keyword_incorrect,21,[1],0.003605227579990987,0.0032447048219918883,0.002523659305993691,36,4,0.9
bug_message_keyword_infinit,22,[1],0.0017124831004957188,0.0017124831004957188,0.0014420910319963948,13,6,0.6842105263157895
bug_message_keyword_invalid,23,[1],0.003334835511491663,0.0032447048219918883,0.002523659305993691,30,7,0.8108108108108107
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0012618296529968455,0.0012618296529968455,0.0006309148264984228,14,0,1.0
bug_message_keyword_loop,26,[1],0.00405588102748986,0.0037854889589905363,0.003064443442992339,24,21,0.5333333333333333
bug_message_keyword_minor,27,[1],0.009824245155475439,0.008652546191978368,0.007480847228481298,53,56,0.4862385321100917
bug_message_keyword_mistak,28,[1],0.001081568273997296,0.001081568273997296,0.001081568273997296,0,12,0.0
bug_message_keyword_npe,29,[1],0.0009013068949977468,0.0006309148264984228,0.0003605227579990987,8,2,0.8
