,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.002059555479275723,0.001887925856002746,0.0009868703338196173,47,1,0.9791666666666667
bug_message_keyword_broken,1,[1],0.005105981292371063,0.004891444263279842,0.002788981378185875,105,14,0.8823529411764706
bug_message_keyword_bug,2,[1],0.03351068394404874,0.03093623959495409,0.014931777224748992,751,30,0.9615877080665813
bug_message_keyword_close,3,[1],0.03930318372951171,0.03235218398695615,0.02029520295202952,767,149,0.8373362445414847
bug_message_keyword_concurr,4,[1],0.0006007036814554192,0.000557796275637175,0.0005148888698189308,5,9,0.35714285714285715
bug_message_keyword_correct,5,[1],0.016648073457478763,0.012614777310563803,0.00810949969964816,319,69,0.8221649484536082
bug_message_keyword_corrupt,6,[1],0.0006865184930919077,0.0006865184930919077,0.0005148888698189308,15,1,0.9375
bug_message_keyword_crash,7,[1],0.005063073886552819,0.004891444263279842,0.0026602591607311423,113,5,0.9576271186440678
bug_message_keyword_deadlock,8,[1],0.00034325924654595385,0.00034325924654595385,0.0003003518407277096,5,3,0.625
bug_message_keyword_defect,9,[1],0.0003003518407277096,0.00021453702909122115,8.581481163648846e-05,7,0,1.0
bug_message_keyword_disabl,10,[1],0.00943962928001373,0.0069080923367373205,0.004591092422552133,150,70,0.6818181818181819
bug_message_keyword_endless,11,[1],0.0002574444349094654,0.00021453702909122115,0.0001287222174547327,5,1,0.8333333333333333
bug_message_keyword_ensur,12,[1],0.0068222775251008325,0.00557796275637175,0.003947481335278469,123,36,0.7735849056603774
bug_message_keyword_error,13,[1],0.02840470265167768,0.02565862867931005,0.01450270316656655,621,41,0.9380664652567976
bug_message_keyword_except,14,[1],0.006007036814554192,0.005105981292371063,0.002788981378185875,124,16,0.8857142857142857
bug_message_keyword_fail,15,[1],0.01776366600875311,0.016304814210932807,0.012314425469836094,281,133,0.678743961352657
bug_message_keyword_bugfix,16,[1],0.28855230412769245,0.16703853085042478,0.10941388483652278,5894,831,0.8764312267657992
bug_message_keyword_garbag,17,[1],0.00017162962327297692,0.00017162962327297692,8.581481163648846e-05,2,2,0.5
bug_message_keyword_handl,18,[1],0.012400240281472583,0.010340684802196859,0.006007036814554192,243,46,0.8408304498269896
bug_message_keyword_incomplet,19,[1],0.0005148888698189308,0.00038616665236419805,0.0002574444349094654,7,5,0.5833333333333334
bug_message_keyword_inconsist,20,[1],0.000557796275637175,0.0004719814640006865,0.00034325924654595385,12,1,0.9230769230769231
bug_message_keyword_incorrect,21,[1],0.003389685059641294,0.003175148030550073,0.0018021110443662575,77,2,0.9746835443037974
bug_message_keyword_infinit,22,[1],0.0009868703338196173,0.000943962928001373,0.0004719814640006865,22,1,0.9565217391304348
bug_message_keyword_invalid,23,[1],0.004333647987642667,0.003947481335278469,0.0025315369432764097,92,9,0.9108910891089108
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0017162962327297692,0.0016304814210932807,0.0004719814640006865,38,2,0.95
bug_message_keyword_loop,26,[1],0.002445722131639921,0.002316999914185188,0.0016304814210932807,39,18,0.6842105263157895
bug_message_keyword_minor,27,[1],0.006865184930919077,0.005449240538917017,0.003775851712005492,93,67,0.58125
bug_message_keyword_mistak,28,[1],0.0012014073629108384,0.0010297777396378615,0.0007294258989101518,16,12,0.5714285714285714
bug_message_keyword_npe,29,[1],0.0028747961898223633,0.002316999914185188,0.0009868703338196173,67,0,1.0
