,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.00249902909342654,0.0022964051128784423,0.0019418131469192712,126,22,0.8513513513513513
bug_message_keyword_broken,1,[1],0.0055721594650726914,0.005251338162538203,0.004255103591510055,213,117,0.6454545454545455
bug_message_keyword_bug,2,[1],0.04174053999290816,0.03885314827009777,0.026172264154129307,2129,343,0.8612459546925566
bug_message_keyword_close,3,[1],0.049693531229421,0.04417202775948534,0.034716242000574105,2160,783,0.7339449541284404
bug_message_keyword_concurr,4,[1],0.0008104959221923915,0.000759839927055367,0.000624757273356635,26,22,0.5416666666666666
bug_message_keyword_correct,5,[1],0.02019485672796042,0.017611400975972174,0.014014825321243436,836,360,0.6989966555183946
bug_message_keyword_corrupt,6,[1],0.0006416426050689766,0.0006416426050689766,0.0004559039562332202,35,3,0.9210526315789473
bug_message_keyword_crash,7,[1],0.00430575958664708,0.004103135606098982,0.002870506391098053,235,20,0.9215686274509804
bug_message_keyword_deadlock,8,[1],0.0005234452830825861,0.0004727892879455617,0.00042213329280853723,20,11,0.6451612903225806
bug_message_keyword_defect,9,[1],0.0007091839319183426,0.00037147729767151276,0.00025327997568512235,39,3,0.9285714285714286
bug_message_keyword_disabl,10,[1],0.008577748509869476,0.007615284602266011,0.006838559343498303,219,289,0.4311023622047244
bug_message_keyword_endless,11,[1],0.00023639464397278085,0.00021950931226043935,0.00010131199027404894,11,3,0.7857142857142857
bug_message_keyword_ensur,12,[1],0.0077334819242524016,0.007007412660621718,0.005791668777333131,320,138,0.6986899563318777
bug_message_keyword_error,13,[1],0.03062999172618746,0.028418013271870726,0.021950931226043937,1418,396,0.7816979051819184
bug_message_keyword_except,14,[1],0.007581513938841328,0.00692298600206001,0.005335764821099911,328,121,0.7305122494432071
bug_message_keyword_fail,15,[1],0.015500734511929487,0.014386302618914949,0.012224980159735239,557,361,0.6067538126361656
bug_message_keyword_bugfix,16,[1],0.2657920064839674,0.1765867990476673,0.13786873343126826,12435,3306,0.7899752239374881
bug_message_keyword_garbag,17,[1],0.00037147729767151276,0.00037147729767151276,0.0002870506391098053,11,11,0.5
bug_message_keyword_handl,18,[1],0.023403069753305302,0.0213261739526873,0.01722303834658832,968,418,0.6984126984126984
bug_message_keyword_incomplet,19,[1],0.0011650878881515627,0.0007767252587677085,0.000692298600206001,45,24,0.6521739130434783
bug_message_keyword_inconsist,20,[1],0.0009962345710281479,0.0008949225807540989,0.0006416426050689766,51,8,0.8644067796610169
bug_message_keyword_incorrect,21,[1],0.003241983688769566,0.002904277054522736,0.002245749117741418,172,20,0.8958333333333333
bug_message_keyword_infinit,22,[1],0.0009793492393158063,0.0009624639076034649,0.000759839927055367,39,19,0.6724137931034483
bug_message_keyword_invalid,23,[1],0.004136906269523665,0.003900511625550884,0.0031237863667831754,186,59,0.7591836734693878
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0019080424834945883,0.0017729598297958563,0.0011482025564392212,102,11,0.9026548672566372
bug_message_keyword_loop,26,[1],0.003934282288975567,0.003647231649865762,0.0029887037130844436,114,119,0.4892703862660944
bug_message_keyword_minor,27,[1],0.009050537797815039,0.008256927207334988,0.007362004626580889,212,324,0.3955223880597015
bug_message_keyword_mistak,28,[1],0.0013001705418502947,0.0013001705418502947,0.0012157438832885873,11,66,0.14285714285714285
bug_message_keyword_npe,29,[1],0.001452138527261368,0.00124951454671327,0.0008273812539047329,78,8,0.9069767441860466
