,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.002009333679025149,0.0018391884884625357,0.0010127689914441276,234,14,0.9435483870967742
bug_message_keyword_broken,1,[1],0.0048288825512056,0.004464285714285714,0.002754731656728027,517,79,0.8674496644295302
bug_message_keyword_bug,2,[1],0.03276510241120042,0.03009949442571947,0.014543362717137671,3873,171,0.9577151335311573
bug_message_keyword_close,3,[1],0.039692442312678246,0.03296765620948924,0.020555159450350014,4155,744,0.8481322718922228
bug_message_keyword_concurr,4,[1],0.0005023334197562872,0.0004294140523723101,0.000380801140782992,36,26,0.5806451612903226
bug_message_keyword_correct,5,[1],0.016779556650246306,0.01255023334197563,0.007907700285195747,1742,329,0.8411395461129889
bug_message_keyword_corrupt,6,[1],0.0005671506352087115,0.0005185377236193933,0.00033218822919367383,65,5,0.9285714285714286
bug_message_keyword_crash,7,[1],0.005315011667098781,0.004982823437905108,0.0025035649468498834,640,16,0.975609756097561
bug_message_keyword_deadlock,8,[1],0.0003159839253305678,0.0003078817733990148,0.00022686025408348456,31,8,0.7948717948717949
bug_message_keyword_defect,9,[1],0.0005428441794140524,0.0003645968369198859,0.00017014519056261342,64,3,0.9552238805970149
bug_message_keyword_disabl,10,[1],0.008993388644023853,0.0064817215452424165,0.004577715841327457,752,358,0.6774774774774774
bug_message_keyword_endless,11,[1],0.00017014519056261342,0.0001539408866995074,0.00010532797511018927,15,6,0.7142857142857143
bug_message_keyword_ensur,12,[1],0.006554640912626393,0.005420339642208971,0.0037999092558983665,652,157,0.8059332509270705
bug_message_keyword_error,13,[1],0.029418913663469017,0.026121337827326938,0.014527158413274566,3389,242,0.9333516937482786
bug_message_keyword_except,14,[1],0.0063682914182006745,0.005379828882551205,0.0031841457091003372,706,80,0.8982188295165394
bug_message_keyword_fail,15,[1],0.01634204044594244,0.01456766917293233,0.011302501944516463,1371,646,0.6797223599405057
bug_message_keyword_bugfix,16,[1],0.29026769509981853,0.16534871661913403,0.1091683951257454,31423,4403,0.8771004298554123
bug_message_keyword_garbag,17,[1],0.00017014519056261342,0.00017014519056261342,0.00011343012704174228,12,9,0.5714285714285714
bug_message_keyword_handl,18,[1],0.012712276380606688,0.010775862068965518,0.006684275343531242,1324,245,0.8438495857233907
bug_message_keyword_incomplet,19,[1],0.0005509463313456054,0.0004375162043038631,0.0003645968369198859,49,19,0.7205882352941176
bug_message_keyword_inconsist,20,[1],0.0005914570910033705,0.0005185377236193933,0.00029977962146746177,68,5,0.9315068493150684
