,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.0017411491584445734,0.0017411491584445734,0.0008705745792222867,3,3,0.5
bug_message_keyword_broken,1,[1],0.009576320371445153,0.009576320371445153,0.008415554265815438,17,16,0.5151515151515151
bug_message_keyword_bug,2,[1],0.0240858966918166,0.0240858966918166,0.017701683110853163,58,25,0.6987951807228916
bug_message_keyword_close,3,[1],0.5220545560069646,0.5188624492164828,0.4428322692977365,863,936,0.47971095052807117
bug_message_keyword_concurr,4,[1],0.0002901915264074289,0.0002901915264074289,0.0002901915264074289,0,1,0.0
bug_message_keyword_correct,5,[1],0.07515960533952408,0.07486941381311665,0.058908879860708065,182,77,0.7027027027027027
bug_message_keyword_corrupt,6,[1],0.0017411491584445734,0.0017411491584445734,0.0017411491584445734,5,1,0.8333333333333333
bug_message_keyword_crash,7,[1],0.009576320371445153,0.009576320371445153,0.008705745792222866,25,8,0.7575757575757576
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.01828206616366802,0.017411491584445733,0.014509576320371444,27,36,0.4285714285714286
bug_message_keyword_endless,11,[1],0.0002901915264074289,0.0002901915264074289,0.0,1,0,1.0
bug_message_keyword_ensur,12,[1],0.05078351712130006,0.05078351712130006,0.03946604759141033,125,50,0.7142857142857143
bug_message_keyword_error,13,[1],0.06384213580963435,0.06355194428322693,0.05165409170052235,160,60,0.7272727272727273
bug_message_keyword_except,14,[1],0.005513639001741149,0.005513639001741149,0.003482298316889147,15,4,0.7894736842105263
bug_message_keyword_fail,15,[1],0.0371445153801509,0.0371445153801509,0.03424260011607661,85,43,0.6640625
bug_message_keyword_bugfix,16,[1],0.6120139291932676,0.5252466627974464,0.4167150319210679,1566,543,0.7425320056899004
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.0481717933836332,0.0481717933836332,0.03685432385374347,138,28,0.8313253012048193
bug_message_keyword_incomplet,19,[1],0.0014509576320371445,0.0014509576320371445,0.0014509576320371445,4,1,0.8
bug_message_keyword_inconsist,20,[1],0.004352872896111433,0.004352872896111433,0.0037724898432965758,7,8,0.4666666666666667
bug_message_keyword_incorrect,21,[1],0.011317469529889728,0.011317469529889728,0.009286128845037725,28,11,0.717948717948718
bug_message_keyword_infinit,22,[1],0.0011607661056297156,0.0011607661056297156,0.0008705745792222867,4,0,1.0
bug_message_keyword_invalid,23,[1],0.011317469529889728,0.011317469529889728,0.01044689495066744,29,10,0.7435897435897436
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0020313406848520023,0.0020313406848520023,0.0014509576320371445,6,1,0.8571428571428572
bug_message_keyword_loop,26,[1],0.003192106790481718,0.003192106790481718,0.002901915264074289,4,7,0.36363636363636365
bug_message_keyword_minor,27,[1],0.01044689495066744,0.01044689495066744,0.009576320371445153,12,24,0.33333333333333337
bug_message_keyword_mistak,28,[1],0.00261172373766686,0.00261172373766686,0.0023215322112594312,1,8,0.1111111111111111
bug_message_keyword_npe,29,[1],0.0017411491584445734,0.0017411491584445734,0.0005803830528148578,3,3,0.5
bug_message_keyword_not|work,30,[1],0.005803830528148578,0.005803830528148578,0.004062681369704005,15,5,0.75
bug_message_keyword_not|return,31,[1],0.0008705745792222867,0.0008705745792222867,0.0005803830528148578,2,1,0.6666666666666666
bug_message_keyword_of|bound,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,33,[1],0.009576320371445153,0.009286128845037725,0.007254788160185722,19,14,0.5757575757575758
bug_message_keyword_prevent,34,[1],0.01828206616366802,0.01828206616366802,0.014509576320371444,51,12,0.8095238095238095
bug_message_keyword_problem,35,[1],0.025536854323853744,0.025536854323853744,0.022344747533372025,72,16,0.8181818181818181
bug_message_keyword_properli,36,[1],0.01625072547881602,0.01625072547881602,0.013929193267556587,42,14,0.75
bug_message_keyword_race|condit,37,[1],0.0005803830528148578,0.0005803830528148578,0.0005803830528148578,1,1,0.5
bug_message_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,39,[1],0.041497388276262336,0.040917005223447475,0.030760301799187463,105,38,0.7342657342657343
bug_message_keyword_threw,40,[1],0.016831108531630876,0.016831108531630876,0.0130586186883343,48,10,0.8275862068965517
bug_message_keyword_timeout,41,[1],0.003192106790481718,0.003192106790481718,0.0020313406848520023,7,4,0.6363636363636364
bug_message_keyword_unabl,42,[1],0.003192106790481718,0.003192106790481718,0.00261172373766686,10,1,0.9090909090909092
bug_message_keyword_unclos,43,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,44,[1],0.00261172373766686,0.00261172373766686,0.0023215322112594312,4,5,0.4444444444444444
bug_message_keyword_unknown,45,[1],0.004352872896111433,0.004352872896111433,0.0037724898432965758,13,2,0.8666666666666667
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
