,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,1,[1],0.007238883143743537,0.007238883143743537,0.004136504653567736,6,1,0.8571428571428572
bug_message_keyword_bug,2,[1],0.2078593588417787,0.20579110651499483,0.09203722854188211,134,67,0.6666666666666666
bug_message_keyword_close,3,[1],0.002068252326783868,0.001034126163391934,0.0,2,0,1.0
bug_message_keyword_concurr,4,[1],0.001034126163391934,0.001034126163391934,0.0,1,0,1.0
bug_message_keyword_correct,5,[1],0.010341261633919338,0.009307135470527405,0.0062047569803516025,5,5,0.5
bug_message_keyword_corrupt,6,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,0,1,0.0
bug_message_keyword_crash,7,[1],0.0031023784901758012,0.0031023784901758012,0.0,3,0,1.0
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.005170630816959669,0.004136504653567736,0.001034126163391934,4,1,0.8
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[1],0.001034126163391934,0.001034126163391934,0.0,0,1,0.0
bug_message_keyword_error,13,[1],0.033092037228541885,0.02998965873836608,0.01344364012409514,19,13,0.59375
bug_message_keyword_except,14,[1],0.007238883143743537,0.005170630816959669,0.004136504653567736,3,4,0.4285714285714286
bug_message_keyword_fail,15,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_bugfix,16,[1],0.39710444674250256,0.30610134436401243,0.1592554291623578,274,110,0.7135416666666666
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.02688728024819028,0.02481902792140641,0.015511892450879007,13,13,0.5
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,21,[1],0.001034126163391934,0.001034126163391934,0.0,1,0,1.0
bug_message_keyword_infinit,22,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_invalid,23,[1],0.004136504653567736,0.004136504653567736,0.0,4,0,1.0
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.0031023784901758012,0.0031023784901758012,0.0,3,0,1.0
bug_message_keyword_loop,26,[1],0.001034126163391934,0.001034126163391934,0.001034126163391934,1,0,1.0
bug_message_keyword_minor,27,[1],0.015511892450879007,0.015511892450879007,0.007238883143743537,6,9,0.4
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[1],0.0062047569803516025,0.0062047569803516025,0.0031023784901758012,5,1,0.8333333333333333
