,j,Polarity,Coverage,Overlaps,Conflicts
bugless_message_keyword_move,0,[0],0.018292115391985633,0.01227504421096432,0.007106604543189869
bugless_message_keyword_refactor,1,[0],0.015001615137396179,0.010106927570669106,0.005913045382623312
bugless_message_keyword_renam,2,[0],0.010517555722240168,0.006323673534194375,0.0036628031120138848
bugless_message_keyword_reorgan,3,[0],0.0005639293281575936,0.00033945260529874566,0.00019162647073316287
bugless_message_keyword_restructur,4,[0],0.0007993561350583366,0.0006132047063461212,0.00044895344571769586
bugless_message_keyword_rewrit,5,[0],0.0016863129424518333,0.0012811598329017175,0.0008650566393097067
bugless_message_keyword_simplif,6,[0],0.00020805159679600541,0.0001587762186074778,9.307571435610769e-05
bugless_message_keyword_simplifi,7,[0],0.0037887290784956776,0.0026937206743061753,0.0017301132786194135
bug_message_keyword_bad,8,[1],0.0021681166402952143,0.0019874402536039465,0.0013140100850274027
bug_message_keyword_broken,9,[1],0.005069888911397395,0.004719486222056754,0.0032412248764009262
bug_message_keyword_bug,10,[1],0.03567537380849398,0.03293785279802022,0.018314015560069424
bug_message_keyword_close,11,[1],0.04293527952827038,0.036600655910034106,0.025146868002211917
bug_message_keyword_concurr,12,[1],0.0006022546223042261,0.0005365541180528561,0.0004599035297595909
bug_message_keyword_correct,13,[1],0.01788696228243552,0.014191308918295948,0.009887925889831204
bug_message_keyword_corrupt,14,[1],0.0005913045382623312,0.0005584542861366461,0.00037230285742443075
bug_message_keyword_crash,15,[1],0.004987763281083182,0.004697586053972964,0.002622545128033858
bug_message_keyword_deadlock,16,[1],0.00038325294146632574,0.0003613527733825357,0.0002901772271102181
bug_message_keyword_defect,17,[1],0.0005967795802832786,0.0003668278154034832,0.0001971015127541104
bug_message_keyword_disabl,18,[1],0.008858617989893073,0.006849277568205336,0.005310790760319086
bug_message_keyword_endless,19,[1],0.00019162647073316287,0.00017520134467032035,0.00010402579839800271
bug_message_keyword_ensur,20,[1],0.006936878240540496,0.005934945550707102,0.0044457341210093785
bug_message_keyword_error,21,[1],0.029811603804059197,0.026866031196789434,0.01693430497079065
bug_message_keyword_except,22,[1],0.006761676895870176,0.005880195130497627,0.003881804792851785
bug_message_keyword_fail,23,[1],0.016069248331480945,0.014508861355510903,0.011601614042387775
bug_message_keyword_bugfix,24,[1],0.2823314918942003,0.16899264701856587,0.11847443429128318
bug_message_keyword_garbag,25,[1],0.00023542680690074295,0.00023542680690074295,0.00016972630264937283
bug_message_keyword_handl,26,[1],0.016178749171899893,0.014196783960316895,0.010101452528648157
bug_message_keyword_incomplet,27,[1],0.000750080756869809,0.0005475042020947511,0.0004708536138014859
bug_message_keyword_inconsist,28,[1],0.0007227055467650714,0.0006405799164508587,0.00041062815157106333
bug_message_keyword_incorrect,29,[1],0.003279550170547559,0.0029017722711021806,0.0016808379004308858
bug_message_keyword_infinit,30,[1],0.0008157812611211791,0.0007938810930373891,0.0004982288239062235
bug_message_keyword_invalid,31,[1],0.00387085470880989,0.003580677481699672,0.0024199685732587996
bug_message_keyword_issue,32,[],0.0,0.0,0.0
bug_message_keyword_leak,33,[1],0.0016425126062842533,0.0015056365557605655,0.000761030840911704
bug_message_keyword_loop,34,[1],0.002797746472704178,0.0025787447918662774,0.0018724643711640486
bug_message_keyword_minor,35,[1],0.007933335888352943,0.0065372001730113274,0.00516843966777445
bug_message_keyword_mistak,36,[1],0.0011442837823780298,0.0010895333621685546,0.0008541065552678116
bug_message_keyword_npe,37,[1],0.0022064419344418468,0.0018286640349964686,0.0009033819334563393
bug_message_keyword_not|work,38,[1],0.0026827705902642803,0.0022611923546513217,0.0010785832781266597
bug_message_keyword_not|return,39,[1],0.00034492764731969315,0.0003175524372149556,0.00018615142871221537
bug_message_keyword_of|bound,40,[1],0.0002025765547750579,0.0001971015127541104,9.85507563770552e-05
bug_message_keyword_patch,41,[1],0.012970374547624654,0.011076010008376814,0.009110469922856659
bug_message_keyword_prevent,42,[1],0.006739776727786386,0.005940420592728049,0.004139131767836318
bug_message_keyword_problem,43,[1],0.008223513115463162,0.007665058829326515,0.005184864793837293
bug_message_keyword_properli,44,[1],0.005283415550214348,0.004692111011952016,0.003137199078002924
bug_message_keyword_race|condit,45,[1],0.0007117554627231764,0.0006953303366603339,0.00048727873986432845
bug_message_keyword_repair,46,[1],0.0002847021850892706,0.00022995176487979545,0.0001533011765865303
bug_message_keyword_resolv,47,[1],0.0123188445471319,0.009740099755265621,0.007040904038938499
bug_message_keyword_threw,48,[1],0.0030167481535420784,0.0028689220189764956,0.0018888894972268913
bug_message_keyword_timeout,49,[1],0.0024309186573006946,0.0019436399174363663,0.0015494368919281454
bug_message_keyword_unabl,50,[1],0.000750080756869809,0.0005475042020947511,0.00033397756327779816
bug_message_keyword_unclos,51,[1],4.92753781885276e-05,3.285025212568507e-05,1.6425126062842534e-05
bug_message_keyword_unexpect,52,[1],0.0006515300004927538,0.0006351048744299112,0.00044347840369674836
bug_message_keyword_unknown,53,[1],0.0014344610094882478,0.0013194851270483502,0.001040257983980027
bug_message_keyword_unsynchron,54,[],0.0,0.0,0.0
bug_message_keyword_wrong,55,[1],0.005316265802340033,0.004752336474182439,0.0026827705902642803
bugless_message_keyword_abil,56,[0],0.0028579719349346006,0.0025239943716568024,0.0011278586563151871
bugless_message_keyword_ad,57,[0],0.07062804207022289,0.044742043395183055,0.021582615646575088
bugless_message_keyword_add,58,[0],0.0998757165461245,0.06322578525790186,0.031273440023652184
bugless_message_keyword_addit,59,[0],0.004746861432161492,0.004276007818360006,0.002644445296117648
bugless_message_keyword_allow,60,[0],0.016063773289459998,0.012400970177446112,0.00860129101490854
