,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.002276475343573161,0.002095392077607114,0.0014098625707356508
bug_message_keyword_broken,1,[1],0.004869846402586904,0.004546483427647534,0.003130153597413096
bug_message_keyword_bug,2,[1],0.031295068714632175,0.029018593371059012,0.01513338722716249
bug_message_keyword_close,3,[1],0.04657073565076799,0.04018108326596605,0.02783508488278092
bug_message_keyword_concurr,4,[1],0.0005949878738884397,0.0005432497978981407,0.00047857720291026676
bug_message_keyword_correct,5,[1],0.018871463217461602,0.014868229587712207,0.010483427647534358
bug_message_keyword_corrupt,6,[1],0.0006143896523848019,0.0005755860953920776,0.0004009700889248181
bug_message_keyword_crash,7,[1],0.005018593371059013,0.004727566693613581,0.002677445432497979
bug_message_keyword_deadlock,8,[1],0.00038156831042845593,0.0003621665319320938,0.0002974939369442199
bug_message_keyword_defect,9,[1],0.000116410670978173,9.700889248181083e-05,6.467259498787389e-05
bug_message_keyword_disabl,10,[1],0.009144704931285368,0.007055780113177041,0.005471301535974131
bug_message_keyword_endless,11,[1],0.00018755052546483427,0.0001746160064672595,0.00010347615198059821
bug_message_keyword_ensur,12,[1],0.007172190784155214,0.006279708973322555,0.0048310428455941795
bug_message_keyword_error,13,[1],0.029924009700889247,0.026936135812449476,0.017545675020210184
bug_message_keyword_except,14,[1],0.006907033144704931,0.005988682295877122,0.00406143896523848
bug_message_keyword_fail,15,[1],0.015786580436540017,0.014176232821341957,0.011350040420371868
bug_message_keyword_bugfix,16,[1],0.27269846402586906,0.1644042037186742,0.11577041228779304
bug_message_keyword_garbag,17,[1],0.00023928860145513338,0.00023928860145513338,0.0001746160064672595
bug_message_keyword_handl,18,[1],0.016685529506871462,0.014654810024252223,0.010742118027485852
bug_message_keyword_incomplet,19,[1],0.000847210994341148,0.0006079223928860145,0.0005303152789005659
bug_message_keyword_inconsist,20,[1],0.0007113985448666128,0.0006402586903799514,0.00043330638641875507
bug_message_keyword_incorrect,21,[1],0.003337105901374293,0.0029232012934518998,0.0017526273241713823
bug_message_keyword_infinit,22,[1],0.0008730800323362975,0.000847210994341148,0.0005303152789005659
bug_message_keyword_invalid,23,[1],0.0039062247372675827,0.0036475343573160873,0.002593371059013743
bug_message_keyword_issue,24,[],0.0,0.0,0.0
bug_message_keyword_leak,25,[1],0.0015909458367016976,0.0014680679062247372,0.0007890056588520614
bug_message_keyword_loop,26,[1],0.002955537590945837,0.0027227162489894905,0.0020371867421180275
bug_message_keyword_minor,27,[1],0.008562651576394503,0.007016976556184317,0.005626515763945028
bug_message_keyword_mistak,28,[1],0.0012675828617623281,0.0012029102667744543,0.0009506871463217461
bug_message_keyword_npe,29,[1],0.0023346806790622474,0.0019013742926434923,0.0009765561843168957
bug_message_keyword_not|work,30,[1],0.0028585286984640257,0.0024381568310428456,0.0011835084882780922
bug_message_keyword_not|return,31,[1],0.00037510105092966855,0.0003427647534357316,0.00020695230396119643
bug_message_keyword_of|bound,32,[1],0.00020695230396119643,0.00020048504446240904,0.00010994341147938561
bug_message_keyword_patch,33,[1],0.010664510913500404,0.009358124494745351,0.008045270816491512
bug_message_keyword_prevent,34,[1],0.006913500404203719,0.0061762328213419565,0.0043848019401778494
bug_message_keyword_problem,35,[1],0.008808407437348424,0.008258690379951495,0.005742926434923201
bug_message_keyword_properli,36,[1],0.0057817299919159255,0.0051479385610347615,0.003479385610347615
bug_message_keyword_race|condit,37,[1],0.0007178658043654002,0.000698464025869038,0.0005109135004042037
bug_message_keyword_repair,38,[1],0.0002457558609539208,0.00019401778496362166,0.00012934518997574778
bug_message_keyword_resolv,39,[1],0.012119644300727567,0.009804365400161682,0.0072562651576394506
bug_message_keyword_threw,40,[1],0.0032336297493936943,0.0030848827809215845,0.002082457558609539
bug_message_keyword_timeout,41,[1],0.002515763945028294,0.0020048504446240904,0.0016362166531932094
bug_message_keyword_unabl,42,[1],0.0008084074373484236,0.0005755860953920776,0.0003556992724333064
bug_message_keyword_unclos,43,[1],5.173807599029911e-05,3.880355699272433e-05,1.9401778496362165e-05
bug_message_keyword_unexpect,44,[1],0.0006725949878738885,0.0006531932093775263,0.000465642683912692
bug_message_keyword_unknown,45,[1],0.0015198059822150365,0.0013904607922392885,0.0011382376717865804
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0
bug_message_keyword_wrong,47,[1],0.005510105092966855,0.00492805173807599,0.0028908649959579627
bugless_message_keyword_abil,48,[0],0.0031236863379143086,0.00274858528698464,0.0012287793047696038
bugless_message_keyword_ad,49,[0],0.07657235246564269,0.047922392886014555,0.02249312853678254
bugless_message_keyword_add,50,[0],0.10385772029102668,0.06520937752627325,0.03197413096200485
bugless_message_keyword_addit,51,[0],0.005037995149555376,0.004559417946645109,0.002793856103476152
bugless_message_keyword_allow,52,[0],0.016614389652384803,0.012940986257073565,0.00901535974130962
bugless_message_keyword_analysi,53,[0],0.0011059013742926436,0.0009442198868229588,0.0006596604688763137
bugless_message_keyword_avoid,54,[0],0.008109943411479385,0.006855295068714632,0.005341956345998383
bugless_message_keyword_baselin,55,[0],0.00014874696847210994,9.054163298302344e-05,3.2336297493936946e-05
bugless_message_keyword_beautification,56,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,57,[0],0.0009377526273241714,0.0007631366208569119,0.00041390460792239286
bugless_message_keyword_better,58,[0],0.008077607113985448,0.006583670169765562,0.004585286984640258
bugless_message_keyword_bump,59,[0],0.014706548100242522,0.011615198059822151,0.002780921584478577
bugless_message_keyword_chang|log,60,[0],0.0004915117219078416,0.0004915117219078416,0.00016168148746968473
bugless_message_keyword_clean,61,[0],0.01639450282942603,0.010172999191592563,0.00609215844785772
bugless_message_keyword_comment,62,[0],0.011835084882780922,0.010050121261115602,0.005632983023443816
bugless_message_keyword_complet,63,[0],0.005335489086499595,0.004339531123686338,0.0028197251414713016
bugless_message_keyword_configur|chang,64,[0],7.113985448666128e-05,6.467259498787389e-05,4.527081649151172e-05
bugless_message_keyword_consolid,65,[0],0.000465642683912692,0.0003621665319320938,0.0001810832659660469
bugless_message_keyword_convert,66,[0],0.004378334680679062,0.0032659660468876313,0.002075990299110752
bugless_message_keyword_coverag,67,[0],0.0023346806790622474,0.0020695230396119645,0.00116410670978173
bugless_message_keyword_create,68,[],0.0,0.0,0.0
bugless_message_keyword_deprec,69,[0],0.0041455133387227165,0.0036281325788197253,0.0021083265966046886
bugless_message_keyword_develop,70,[0],0.004695230396119644,0.00426192400970089,0.0017396928051738076
bugless_message_keyword_doc,71,[0],0.030700080840743736,0.026910266774454326,0.015165723524656427
bugless_message_keyword_drop,72,[0],0.003964430072756669,0.003007275666936136,0.0018172999191592562
bugless_message_keyword_enhanc,73,[0],0.003007275666936136,0.0024187550525464835,0.0013775262732417138
bugless_message_keyword_exampl,74,[0],0.009649151172190784,0.008769603880355699,0.005012126111560227
bugless_message_keyword_exclud,75,[0],0.0017073565076798707,0.0013904607922392885,0.0008536782538399354
bugless_message_keyword_expand,76,[0],0.0021535974130962006,0.0018172999191592562,0.0013581244947453517
bugless_message_keyword_extendgener,77,[],0.0,0.0,0.0
bugless_message_keyword_featur,78,[0],0.007295068714632175,0.00638965238480194,0.0035893290218270008
bugless_message_keyword_forget,79,[0],0.000465642683912692,0.00031689571544058203,0.000232821341956346
bugless_message_keyword_format,80,[0],0.009267582861762328,0.007676637025060631,0.0051350040420371865
bugless_message_keyword_gitignor,81,[0],0.0026709781729991914,0.0023217461600646724,0.0007437348423605497
bugless_message_keyword_idea,82,[0],0.0011253031527890056,0.0009636216653193209,0.0005238480194017785
bugless_message_keyword_implement,83,[0],0.01592239288601455,0.011401778496362166,0.006518997574777688
bugless_message_keyword_improv,84,[0],0.01498464025869038,0.011253031527890056,0.007042845594179467
bugless_message_keyword_includ,85,[0],0.011304769603880356,0.009390460792239288,0.006001616814874697
bugless_message_keyword_info,86,[0],0.0064801940177849635,0.005684721099434115,0.003026677445432498
bugless_message_keyword_intorduc,87,[],0.0,0.0,0.0
bugless_message_keyword_limit,88,[0],0.0034017784963621665,0.002864995957962813,0.0019725141471301534
bugless_message_keyword_log,89,[0],0.014493128536782538,0.011983831851253032,0.007780113177041229
bugless_message_keyword_migrat,90,[0],0.0044494745351657235,0.003459983831851253,0.002043654001616815
bugless_message_keyword_minim,91,[0],0.0007890056588520614,0.0006661277283751011,0.00037510105092966855
bugless_message_keyword_modif,92,[0],0.001396928051738076,0.0010282942603071948,0.0006790622473726759
bugless_message_keyword_move,93,[0],0.01986095392077607,0.013206143896523848,0.0074955537590945835
bugless_message_keyword_new,94,[0],0.03541471301535974,0.028274858528698463,0.014234438156831043
bugless_message_keyword_note,95,[0],0.00829749393694422,0.00770250606305578,0.0036798706548100244
bugless_message_keyword_opinion,96,[0],7.113985448666128e-05,6.467259498787389e-05,4.527081649151172e-05
bugless_message_keyword_optim,97,[0],0.003951495553759094,0.002826192400970089,0.0016814874696847212
bugless_message_keyword_pass|test,98,[0],0.000116410670978173,0.000116410670978173,5.173807599029911e-05
bugless_message_keyword_perf|test,99,[0],6.467259498787389e-05,6.467259498787389e-05,1.9401778496362165e-05
bugless_message_keyword_perfom|test,100,[],0.0,0.0,0.0
bugless_message_keyword_perform,101,[0],0.003531123686337914,0.0032659660468876313,0.0021406628940986256
bugless_message_keyword_plugin,102,[0],0.010043654001616815,0.008911883589329022,0.003291835084882781
bugless_message_keyword_polish,103,[0],0.0005367825383993533,0.00038156831042845593,0.00018755052546483427
bugless_message_keyword_possibl,104,[0],0.006046887631366208,0.0054518997574777685,0.004216653193209377
bugless_message_keyword_prepar,105,[0],0.006202101859337106,0.004468876313662086,0.0013516572352465642
bugless_message_keyword_propos,106,[0],0.0008213419563459983,0.0007502021018593371,0.0005432497978981407
bugless_message_keyword_provid,107,[0],0.00757962813257882,0.006447857720291027,0.004339531123686338
bugless_message_keyword_publish,108,[0],0.0036992724333063864,0.0020501212611156025,0.0011188358932902184
bugless_message_keyword_readm,109,[0],0.019906224737267584,0.01795957962813258,0.0041455133387227165
bugless_message_keyword_reduc,110,[0],0.002658043654001617,0.0021083265966046886,0.0013322554567502022
bugless_message_keyword_refactor,111,[0],0.01565076798706548,0.010573969280517381,0.006234438156831043
bugless_message_keyword_refin,112,[0],0.0009765561843168957,0.0008019401778496362,0.0005173807599029911
bugless_message_keyword_reformat,113,[0],0.000931285367825384,0.0006855295068714632,0.0005109135004042037
bugless_message_keyword_regress|test,114,[0],0.0007502021018593371,0.0007502021018593371,0.00048504446240905415
bugless_message_keyword_reimplement,115,[0],0.00041390460792239286,0.00025869037995149556,0.00016814874696847212
bugless_message_keyword_release,116,[],0.0,0.0,0.0
bugless_message_keyword_remov,117,[0],0.06032659660468876,0.039346806790622475,0.023042845594179465
bugless_message_keyword_renam,118,[0],0.011440582053354891,0.0068229587712206954,0.0038544866612772836
bugless_message_keyword_reorgan,119,[0],0.0006402586903799514,0.00038156831042845593,0.00020695230396119643
bugless_message_keyword_replac,120,[0],0.009403395311236863,0.007236863379143088,0.004708164915117219
bugless_message_keyword_restrict,121,[0],0.0012029102667744543,0.0010088924818108327,0.0007372675828617623
bugless_message_keyword_restructur,122,[0],0.0008730800323362975,0.0006661277283751011,0.000497978981406629
bugless_message_keyword_review,123,[0],0.010075990299110752,0.009177041228779305,0.005186742118027486
bugless_message_keyword_rewrit,124,[0],0.001765561843168957,0.0013387227162489895,0.0009054163298302344
bugless_message_keyword_rid,125,[0],0.0015327405012126112,0.0010347615198059823,0.000549717057396928
bugless_message_keyword_set|up,126,[0],0.0011576394502829427,0.0009183508488278092,0.0005755860953920776
bugless_message_keyword_simplif,127,[0],0.00020695230396119643,0.00015521422797089732,9.700889248181083e-05
bugless_message_keyword_simplifi,128,[0],0.004029102667744543,0.002793856103476152,0.0017914308811641066
bugless_message_keyword_speedup,129,[0],0.0005303152789005659,0.00043977364591754245,0.0002457558609539208
bugless_message_keyword_stage,130,[0],0.0013387227162489895,0.0012223120452708165,0.0008795472918350849
bugless_message_keyword_stat,131,[0],0.001978981406628941,0.0013063864187550526,0.0006725949878738885
bugless_message_keyword_statist,132,[0],0.0005691188358932902,0.0004915117219078416,0.00031689571544058203
