,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.003838771593090211,0.003838771593090211,0.0,2,0,1.0
bug_message_keyword_broken,1,[1],0.009596928982725527,0.007677543186180422,0.005758157389635317,4,1,0.8
bug_message_keyword_bug,2,[1],0.03262955854126679,0.030710172744721688,0.019193857965451054,17,0,1.0
bug_message_keyword_close,3,[1],0.05566218809980806,0.04798464491362764,0.046065259117082535,10,19,0.3448275862068966
bug_message_keyword_concurr,4,[1],0.007677543186180422,0.007677543186180422,0.007677543186180422,2,2,0.5
bug_message_keyword_correct,5,[1],0.009596928982725527,0.009596928982725527,0.005758157389635317,4,1,0.8
bug_message_keyword_corrupt,6,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,1,0.0
bug_message_keyword_crash,7,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.003838771593090211,0.003838771593090211,0.003838771593090211,1,1,0.5
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[1],0.005758157389635317,0.005758157389635317,0.003838771593090211,3,0,1.0
bug_message_keyword_error,13,[1],0.019193857965451054,0.015355086372360844,0.009596928982725527,5,5,0.5
bug_message_keyword_except,14,[1],0.02111324376199616,0.02111324376199616,0.015355086372360844,7,4,0.6363636363636364
bug_message_keyword_fail,15,[1],0.026871401151631478,0.02111324376199616,0.015355086372360844,10,4,0.7142857142857143
bug_message_keyword_bugfix,16,[1],0.21305182341650672,0.14587332053742802,0.1017274472168906,98,13,0.8828828828828829
bug_message_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,18,[1],0.023032629558541268,0.023032629558541268,0.019193857965451054,5,7,0.4166666666666667
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,1,0,1.0
bug_message_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,22,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,1,0,1.0
bug_message_keyword_invalid,23,[1],0.0019193857965451055,0.0019193857965451055,0.0,1,0,1.0
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.003838771593090211,0.003838771593090211,0.0019193857965451055,2,0,1.0
bug_message_keyword_loop,26,[1],0.005758157389635317,0.005758157389635317,0.005758157389635317,2,1,0.6666666666666666
bug_message_keyword_minor,27,[1],0.013435700575815739,0.011516314779270634,0.009596928982725527,1,6,0.14285714285714285
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[1],0.011516314779270634,0.007677543186180422,0.003838771593090211,5,1,0.8333333333333333
bug_message_keyword_not|work,30,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,1,0.0
bug_message_keyword_not|return,31,[1],0.0019193857965451055,0.0,0.0,1,0,1.0
bug_message_keyword_of|bound,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,33,[1],0.019193857965451054,0.013435700575815739,0.013435700575815739,4,6,0.4
bug_message_keyword_prevent,34,[1],0.009596928982725527,0.009596928982725527,0.009596928982725527,2,3,0.4
bug_message_keyword_problem,35,[1],0.013435700575815739,0.011516314779270634,0.005758157389635317,5,2,0.7142857142857143
bug_message_keyword_properli,36,[1],0.005758157389635317,0.005758157389635317,0.0,3,0,1.0
bug_message_keyword_race|condit,37,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,38,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,1,0.0
bug_message_keyword_resolv,39,[1],0.013435700575815739,0.009596928982725527,0.005758157389635317,4,3,0.5714285714285714
bug_message_keyword_threw,40,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,1,0,1.0
bug_message_keyword_timeout,41,[1],0.009596928982725527,0.007677543186180422,0.005758157389635317,2,3,0.4
bug_message_keyword_unabl,42,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unclos,43,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,44,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,47,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_abil,48,[0],0.005758157389635317,0.005758157389635317,0.0019193857965451055,3,0,1.0
