,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.00388651379712398,0.003303536727555383,0.001554605518849592,13,7,0.65
bug_message_keyword_broken,1,[1],0.004275165176836378,0.003497862417411582,0.002137582588418189,14,8,0.6363636363636364
bug_message_keyword_bug,2,[1],0.1352506801399145,0.1331130975514963,0.06626506024096386,380,316,0.5459770114942528
bug_message_keyword_close,3,[1],0.016906335017489314,0.011270890011659542,0.005441119315973571,58,29,0.6666666666666666
bug_message_keyword_concurr,4,[1],0.00777302759424796,0.007384376214535562,0.005441119315973571,27,13,0.675
bug_message_keyword_correct,5,[1],0.01729498639720171,0.014963078118927322,0.008161678973960357,57,32,0.6404494382022472
bug_message_keyword_corrupt,6,[1],0.004858142246404975,0.00388651379712398,0.00194325689856199,20,5,0.8
bug_message_keyword_crash,7,[1],0.001165954139137194,0.000777302759424796,0.000582977069568597,5,1,0.8333333333333333
bug_message_keyword_deadlock,8,[1],0.005441119315973571,0.004275165176836378,0.003109211037699184,28,0,1.0
bug_message_keyword_defect,9,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_disabl,10,[1],0.005635445005829771,0.004469490866692577,0.00388651379712398,12,17,0.41379310344827586
bug_message_keyword_endless,11,[1],0.000971628449280995,0.000971628449280995,0.000194325689856199,5,0,1.0
bug_message_keyword_ensur,12,[1],0.003109211037699184,0.0025262339681305867,0.001165954139137194,11,5,0.6875
bug_message_keyword_error,13,[1],0.017100660707345512,0.015157403808783521,0.010104935872522347,42,46,0.4772727272727273
bug_message_keyword_except,14,[1],0.028371550719005052,0.02506801399144967,0.013214146910221531,80,66,0.547945205479452
bug_message_keyword_fail,15,[1],0.04391760590750097,0.02876020209871745,0.019626894675476098,131,95,0.5796460176991151
bug_message_keyword_bugfix,16,[1],0.22172561212592304,0.18208317139525845,0.0946366109599689,664,477,0.581945661700263
bug_message_keyword_garbag,17,[1],0.003303536727555383,0.0027205596579867857,0.001554605518849592,9,8,0.5294117647058824
bug_message_keyword_handl,18,[1],0.020792848814613293,0.018072289156626505,0.010687912942090944,51,56,0.4766355140186916
bug_message_keyword_incomplet,19,[1],0.0013602798289933929,0.0013602798289933929,0.000777302759424796,4,3,0.5714285714285714
bug_message_keyword_inconsist,20,[1],0.004663816556548776,0.003497862417411582,0.00194325689856199,18,6,0.75
bug_message_keyword_incorrect,21,[1],0.009133307423241352,0.005635445005829771,0.0025262339681305867,32,15,0.6808510638297872
bug_message_keyword_infinit,22,[1],0.0025262339681305867,0.002331908278274388,0.000582977069568597,10,3,0.7692307692307692
bug_message_keyword_invalid,23,[1],0.006607073455110766,0.005052467936261173,0.0027205596579867857,26,8,0.7647058823529411
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.00388651379712398,0.0027205596579867857,0.001165954139137194,15,5,0.75
bug_message_keyword_loop,26,[1],0.006218422075398368,0.005635445005829771,0.00194325689856199,23,9,0.71875
bug_message_keyword_minor,27,[1],0.007384376214535562,0.007384376214535562,0.007190050524679362,14,24,0.368421052631579
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[1],0.013019821220365333,0.010493587252234746,0.003497862417411582,62,5,0.9253731343283582
bug_message_keyword_not|work,30,[1],0.0058297706956859695,0.003692188107267781,0.0025262339681305867,23,7,0.7666666666666666
bug_message_keyword_not|return,31,[1],0.00194325689856199,0.0013602798289933929,0.000582977069568597,9,1,0.9
bug_message_keyword_of|bound,32,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_patch,33,[1],0.07112320248736884,0.05926933540614069,0.04022541780023319,129,237,0.3524590163934426
bug_message_keyword_prevent,34,[1],0.009521958802953751,0.00777302759424796,0.0025262339681305867,31,18,0.6326530612244898
bug_message_keyword_problem,35,[1],0.012048192771084338,0.010299261562378547,0.006218422075398368,41,21,0.6612903225806451
bug_message_keyword_properli,36,[1],0.008356004663816556,0.006412747765254567,0.004080839486980179,28,15,0.6511627906976745
bug_message_keyword_race|condit,37,[1],0.000971628449280995,0.000777302759424796,0.000388651379712398,3,2,0.6
bug_message_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,39,[1],0.006995724834823164,0.006412747765254567,0.00388651379712398,13,23,0.3611111111111111
bug_message_keyword_threw,40,[1],0.026039642440730666,0.018072289156626505,0.008161678973960357,95,39,0.708955223880597
bug_message_keyword_timeout,41,[1],0.003109211037699184,0.0027205596579867857,0.001554605518849592,8,8,0.5
bug_message_keyword_unabl,42,[1],0.000971628449280995,0.000194325689856199,0.000194325689856199,5,0,1.0
bug_message_keyword_unclos,43,[1],0.000971628449280995,0.000777302759424796,0.000388651379712398,2,3,0.4
bug_message_keyword_unexpect,44,[1],0.001554605518849592,0.0013602798289933929,0.000777302759424796,5,3,0.625
bug_message_keyword_unknown,45,[1],0.000777302759424796,0.000582977069568597,0.000388651379712398,0,4,0.0
bug_message_keyword_unsynchron,46,[1],0.000582977069568597,0.0,0.0,3,0,1.0
bug_message_keyword_wrong,47,[1],0.009521958802953751,0.006412747765254567,0.003692188107267781,39,10,0.7959183673469388
bugless_message_keyword_abil,48,[0],0.00194325689856199,0.001748931208705791,0.000194325689856199,9,1,0.9
bugless_message_keyword_ad,49,[0],0.045472211426350564,0.03167508744656043,0.015934706568208317,172,62,0.7350427350427351
bugless_message_keyword_add,50,[0],0.10357559269335406,0.0586863583365721,0.02876020209871745,455,78,0.8536585365853658
bugless_message_keyword_addit,51,[0],0.005635445005829771,0.005246793626117373,0.003303536727555383,20,9,0.6896551724137931
bugless_message_keyword_allow,52,[0],0.03322969296541003,0.020015546055188495,0.012242518460940537,135,36,0.7894736842105263
bugless_message_keyword_analysi,53,[0],0.0027205596579867857,0.002137582588418189,0.000388651379712398,13,1,0.9285714285714286
bugless_message_keyword_avoid,54,[0],0.014185775359502526,0.009910610182666148,0.006995724834823164,48,25,0.6575342465753424
bugless_message_keyword_baselin,55,[0],0.000194325689856199,0.0,0.0,1,0,1.0
bugless_message_keyword_beautification,56,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,57,[0],0.006218422075398368,0.005246793626117373,0.000971628449280995,27,5,0.84375
bugless_message_keyword_better,58,[0],0.009521958802953751,0.008744656043528955,0.005441119315973571,42,7,0.8571428571428572
bugless_message_keyword_bump,59,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_chang|log,60,[0],0.001165954139137194,0.001165954139137194,0.000194325689856199,6,0,1.0
bugless_message_keyword_clean,61,[0],0.01146521570151574,0.007384376214535562,0.004080839486980179,47,12,0.7966101694915254
bugless_message_keyword_comment,62,[0],0.004663816556548776,0.004275165176836378,0.0027205596579867857,15,9,0.625
bugless_message_keyword_complet,63,[0],0.0013602798289933929,0.0013602798289933929,0.000777302759424796,6,1,0.8571428571428572
bugless_message_keyword_configur|chang,64,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,65,[0],0.001554605518849592,0.000582977069568597,0.000388651379712398,7,1,0.875
bugless_message_keyword_convert,66,[0],0.003692188107267781,0.0029148853478429848,0.001748931208705791,14,5,0.7368421052631579
bugless_message_keyword_coverag,67,[0],0.000971628449280995,0.000971628449280995,0.000194325689856199,4,1,0.8
bugless_message_keyword_create,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,69,[0],0.01729498639720171,0.012631169840652934,0.0029148853478429848,86,3,0.9662921348314606
bugless_message_keyword_develop,70,[0],0.000582977069568597,0.000582977069568597,0.000194325689856199,2,1,0.6666666666666666
bugless_message_keyword_doc,71,[0],0.04683249125534396,0.038087835211815003,0.02098717450446949,191,50,0.7925311203319503
bugless_message_keyword_drop,72,[0],0.0029148853478429848,0.001554605518849592,0.000388651379712398,11,4,0.7333333333333334
bugless_message_keyword_enhanc,73,[0],0.0025262339681305867,0.00194325689856199,0.000582977069568597,12,1,0.9230769230769231
bugless_message_keyword_exampl,74,[0],0.003303536727555383,0.0029148853478429848,0.001554605518849592,12,5,0.7058823529411764
bugless_message_keyword_exclud,75,[0],0.0025262339681305867,0.00194325689856199,0.000582977069568597,12,1,0.9230769230769231
bugless_message_keyword_expand,76,[0],0.000582977069568597,0.000388651379712398,0.000194325689856199,2,1,0.6666666666666666
bugless_message_keyword_extendgener,77,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,78,[0],0.002137582588418189,0.001748931208705791,0.000971628449280995,10,1,0.9090909090909092
bugless_message_keyword_forget,79,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_format,80,[0],0.005635445005829771,0.005052467936261173,0.003109211037699184,23,6,0.7931034482758621
bugless_message_keyword_gitignor,81,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_idea,82,[0],0.000777302759424796,0.000777302759424796,0.000582977069568597,2,2,0.5
bugless_message_keyword_implement,83,[0],0.03245239020598523,0.02487368830159347,0.014574426739214923,136,31,0.8143712574850299
bugless_message_keyword_improv,84,[0],0.035367275553828216,0.02681694520015546,0.012048192771084338,166,16,0.9120879120879121
bugless_message_keyword_includ,85,[0],0.010882238631947143,0.008161678973960357,0.004275165176836378,47,9,0.8392857142857143
bugless_message_keyword_info,86,[0],0.0025262339681305867,0.002137582588418189,0.000971628449280995,12,1,0.9230769230769231
bugless_message_keyword_intorduc,87,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,88,[0],0.005052467936261173,0.00388651379712398,0.002331908278274388,18,8,0.6923076923076923
bugless_message_keyword_log,89,[0],0.015934706568208317,0.014768752429071124,0.009133307423241352,64,18,0.7804878048780488
bugless_message_keyword_migrat,90,[0],0.000971628449280995,0.000777302759424796,0.000194325689856199,4,1,0.8
bugless_message_keyword_minim,91,[0],0.0013602798289933929,0.000971628449280995,0.000388651379712398,5,2,0.7142857142857143
bugless_message_keyword_modif,92,[0],0.0027205596579867857,0.002331908278274388,0.002331908278274388,10,4,0.7142857142857143
bugless_message_keyword_move,93,[0],0.024679362611737272,0.012631169840652934,0.006218422075398368,93,34,0.7322834645669292
bugless_message_keyword_new,94,[0],0.03400699572483482,0.028177225029148854,0.01554605518849592,127,48,0.7257142857142858
bugless_message_keyword_note,95,[0],0.0027205596579867857,0.0027205596579867857,0.00194325689856199,8,6,0.5714285714285714
bugless_message_keyword_opinion,96,[0],0.000194325689856199,0.000194325689856199,0.000194325689856199,0,1,0.0
bugless_message_keyword_optim,97,[0],0.011659541391371939,0.0075787019043917605,0.005246793626117373,43,17,0.7166666666666667
bugless_message_keyword_pass|test,98,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perf|test,99,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perfom|test,100,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,101,[0],0.010299261562378547,0.009133307423241352,0.0027205596579867857,46,7,0.8679245283018868
bugless_message_keyword_plugin,102,[0],0.003109211037699184,0.0025262339681305867,0.000777302759424796,14,2,0.875
bugless_message_keyword_polish,103,[0],0.000388651379712398,0.000388651379712398,0.0,2,0,1.0
bugless_message_keyword_possibl,104,[0],0.009327633113097552,0.008356004663816556,0.006412747765254567,25,23,0.5208333333333334
bugless_message_keyword_prepar,105,[0],0.002137582588418189,0.00194325689856199,0.001165954139137194,8,3,0.7272727272727273
bugless_message_keyword_propos,106,[0],0.003497862417411582,0.003497862417411582,0.003497862417411582,10,8,0.5555555555555556
bugless_message_keyword_provid,107,[0],0.016906335017489314,0.013991449669646328,0.010687912942090944,63,24,0.7241379310344828
bugless_message_keyword_publish,108,[0],0.000777302759424796,0.000388651379712398,0.000194325689856199,2,2,0.5
bugless_message_keyword_readm,109,[0],0.000582977069568597,0.000582977069568597,0.0,3,0,1.0
bugless_message_keyword_reduc,110,[0],0.006024096385542169,0.00388651379712398,0.0025262339681305867,28,3,0.9032258064516129
bugless_message_keyword_refactor,111,[0],0.007967353284104159,0.004858142246404975,0.0029148853478429848,34,7,0.8292682926829269
bugless_message_keyword_refin,112,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_reformat,113,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_regress|test,114,[0],0.000777302759424796,0.000777302759424796,0.000582977069568597,0,4,0.0
bugless_message_keyword_reimplement,115,[0],0.000194325689856199,0.000194325689856199,0.000194325689856199,1,0,1.0
bugless_message_keyword_release,116,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,117,[0],0.05888068402642829,0.03614457831325301,0.017877963466770307,238,65,0.7854785478547854
bugless_message_keyword_renam,118,[0],0.007190050524679362,0.003497862417411582,0.001554605518849592,34,3,0.9189189189189189
bugless_message_keyword_reorgan,119,[0],0.000971628449280995,0.000582977069568597,0.000388651379712398,5,0,1.0
bugless_message_keyword_replac,120,[0],0.012631169840652934,0.008744656043528955,0.005052467936261173,46,19,0.7076923076923077
bugless_message_keyword_restrict,121,[0],0.00194325689856199,0.00194325689856199,0.001165954139137194,6,4,0.6
bugless_message_keyword_restructur,122,[0],0.000582977069568597,0.000388651379712398,0.000194325689856199,2,1,0.6666666666666666
bugless_message_keyword_review,123,[0],0.003109211037699184,0.0025262339681305867,0.00194325689856199,10,6,0.625
bugless_message_keyword_rewrit,124,[0],0.002137582588418189,0.001165954139137194,0.000777302759424796,8,3,0.7272727272727273
bugless_message_keyword_rid,125,[0],0.000777302759424796,0.000388651379712398,0.000194325689856199,3,1,0.75
bugless_message_keyword_set|up,126,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_simplif,127,[0],0.000582977069568597,0.000388651379712398,0.0,2,1,0.6666666666666666
bugless_message_keyword_simplifi,128,[0],0.00388651379712398,0.003497862417411582,0.00194325689856199,15,5,0.75
bugless_message_keyword_speedup,129,[0],0.005441119315973571,0.0025262339681305867,0.000582977069568597,28,0,1.0
bugless_message_keyword_stage,130,[0],0.000388651379712398,0.000194325689856199,0.0,2,0,1.0
bugless_message_keyword_stat,131,[0],0.002137582588418189,0.000777302759424796,0.000194325689856199,8,3,0.7272727272727273
bugless_message_keyword_statist,132,[0],0.000582977069568597,0.000582977069568597,0.000388651379712398,3,0,1.0
bugless_message_keyword_support,133,[0],0.035950252623396815,0.02681694520015546,0.011076564321803343,154,31,0.8324324324324324
bugless_message_keyword_switch,134,[0],0.0058297706956859695,0.003692188107267781,0.00194325689856199,24,6,0.8
bugless_message_keyword_test,135,[0],0.06917994558880684,0.0586863583365721,0.034201321414691024,248,108,0.6966292134831461
