,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,1,[1],0.00683371298405467,0.00683371298405467,0.003416856492027335,5,1,0.8333333333333333
bug_message_keyword_bug,2,[1],0.22323462414578588,0.21981776765375854,0.08542141230068337,134,62,0.6836734693877551
bug_message_keyword_close,3,[1],0.002277904328018223,0.0011389521640091116,0.0,2,0,1.0
bug_message_keyword_correct,4,[1],0.009111617312072893,0.007972665148063782,0.0056947608200455585,5,3,0.625
bug_message_keyword_corrupt,5,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,0,1,0.0
bug_message_keyword_crash,6,[1],0.003416856492027335,0.003416856492027335,0.0,3,0,1.0
bug_message_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,8,[1],0.002277904328018223,0.0011389521640091116,0.0011389521640091116,1,1,0.5
bug_message_keyword_endless,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,10,[1],0.0011389521640091116,0.0011389521640091116,0.0,0,1,0.0
bug_message_keyword_error,11,[1],0.02847380410022779,0.025056947608200455,0.011389521640091117,13,12,0.52
bug_message_keyword_except,12,[1],0.007972665148063782,0.0056947608200455585,0.004555808656036446,3,4,0.4285714285714286
bug_message_keyword_fail,13,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bugfix,14,[1],0.3724373576309795,0.2984054669703872,0.13895216400911162,232,95,0.709480122324159
bug_message_keyword_garbag,15,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_handl,16,[1],0.02619589977220957,0.023917995444191344,0.014806378132118452,10,13,0.43478260869565216
bug_message_keyword_incomplet,17,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,18,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_infinit,20,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,1,0,1.0
bug_message_keyword_invalid,21,[1],0.002277904328018223,0.002277904328018223,0.0,2,0,1.0
bug_message_keyword_issue,22,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,23,[1],0.003416856492027335,0.003416856492027335,0.0,3,0,1.0
bug_message_keyword_loop,24,[1],0.0011389521640091116,0.0011389521640091116,0.0011389521640091116,1,0,1.0
bug_message_keyword_minor,25,[1],0.014806378132118452,0.014806378132118452,0.00683371298405467,6,7,0.46153846153846156
