,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.0036,0.0032,0.0025
bug_message_keyword_broken,1,[1],0.0083,0.0077,0.0056
bug_message_keyword_bug,2,[1],0.01845,0.0178,0.0105
bug_message_keyword_close,3,[1],0.04375,0.0393,0.0272
bug_message_keyword_concurr,4,[1],0.0005,0.0005,0.00035
bug_message_keyword_correct,5,[1],0.0198,0.0163,0.0119
bug_message_keyword_corrupt,6,[1],0.0011,0.00105,0.0007
bug_message_keyword_crash,7,[1],0.0058,0.00545,0.0038
bug_message_keyword_deadlock,8,[1],0.00155,0.00155,0.0009
bug_message_keyword_defect,9,[1],0.0001,0.0001,5e-05
bug_message_keyword_disabl,10,[1],0.01395,0.01195,0.0099
bug_message_keyword_endless,11,[1],0.00015,0.00015,0.0001
bug_message_keyword_ensur,12,[1],0.0053,0.0045,0.00355
bug_message_keyword_error,13,[1],0.0349,0.03025,0.0198
bug_message_keyword_except,14,[1],0.009,0.0081,0.00595
bug_message_keyword_fail,15,[1],0.0206,0.01905,0.01575
bug_message_keyword_bugfix,16,[1],0.25745,0.1788,0.1272
bug_message_keyword_garbag,17,[1],0.0004,0.00025,0.00025
bug_message_keyword_handl,18,[1],0.02065,0.01775,0.01315
bug_message_keyword_incomplet,19,[1],0.0013,0.00115,0.0008
bug_message_keyword_inconsist,20,[1],0.00085,0.0008,0.0005
bug_message_keyword_incorrect,21,[1],0.00495,0.00485,0.00295
bug_message_keyword_infinit,22,[1],0.0007,0.0007,0.00035
bug_message_keyword_invalid,23,[1],0.0045,0.0043,0.0026
bug_message_keyword_issue,24,[],0.0,0.0,0.0
bug_message_keyword_leak,25,[1],0.00395,0.00365,0.00205
bug_message_keyword_loop,26,[1],0.0062,0.0054,0.00435
bug_message_keyword_minor,27,[1],0.0201,0.01785,0.0155
bug_message_keyword_mistak,28,[1],0.0014,0.00115,0.0008
bug_message_keyword_npe,29,[1],0.0024,0.0022,0.0012
bug_message_keyword_not|work,30,[1],0.0027,0.00245,0.00165
bug_message_keyword_not|return,31,[1],0.00015,0.00015,5e-05
bug_message_keyword_of|bound,32,[1],0.0002,0.00015,0.0001
bug_message_keyword_patch,33,[1],0.0497,0.0455,0.0316
bug_message_keyword_prevent,34,[1],0.01005,0.009,0.0067
bug_message_keyword_problem,35,[1],0.0231,0.022,0.01425
bug_message_keyword_properli,36,[1],0.0123,0.0104,0.007
bug_message_keyword_race|condit,37,[1],0.00085,0.00085,0.00055
bug_message_keyword_repair,38,[1],0.0004,0.00025,0.00015
bug_message_keyword_resolv,39,[1],0.01525,0.01165,0.0082
bug_message_keyword_threw,40,[1],0.00325,0.00275,0.00185
bug_message_keyword_timeout,41,[1],0.0027,0.00245,0.00195
bug_message_keyword_unabl,42,[1],0.00085,0.00075,0.00055
bug_message_keyword_unclos,43,[],0.0,0.0,0.0
bug_message_keyword_unexpect,44,[1],0.00085,0.00075,0.0004
bug_message_keyword_unknown,45,[1],0.0011,0.00105,0.0008
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0
bug_message_keyword_wrong,47,[1],0.00575,0.00485,0.0032
bugless_message_keyword_abil,48,[0],0.0042,0.00395,0.00205
bugless_message_keyword_ad,49,[0],0.06295,0.04675,0.0221
bugless_message_keyword_add,50,[0],0.12175,0.0901,0.04425
bugless_message_keyword_addit,51,[0],0.0093,0.00845,0.00525
bugless_message_keyword_allow,52,[0],0.0343,0.0274,0.018
bugless_message_keyword_analysi,53,[0],0.00255,0.0022,0.00135
bugless_message_keyword_avoid,54,[0],0.01165,0.0099,0.0063
bugless_message_keyword_baselin,55,[0],5e-05,5e-05,5e-05
bugless_message_keyword_beautification,56,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,57,[0],0.00125,0.00105,0.00065
bugless_message_keyword_better,58,[0],0.0155,0.0127,0.00905
bugless_message_keyword_bump,59,[0],0.0101,0.00845,0.0017
bugless_message_keyword_chang|log,60,[0],0.0003,0.0003,0.0001
bugless_message_keyword_clean,61,[0],0.0256,0.01745,0.00945
bugless_message_keyword_comment,62,[0],0.0122,0.0106,0.00605
bugless_message_keyword_complet,63,[0],0.01315,0.01115,0.0069
bugless_message_keyword_configur|chang,64,[0],0.00025,0.0002,0.0001
bugless_message_keyword_consolid,65,[0],0.00145,0.00085,0.0007
bugless_message_keyword_convert,66,[0],0.0098,0.0071,0.004
bugless_message_keyword_coverag,67,[0],0.0006,0.00055,0.00025
bugless_message_keyword_create,68,[],0.0,0.0,0.0
bugless_message_keyword_deprec,69,[0],0.00765,0.00625,0.00315
bugless_message_keyword_develop,70,[0],0.0029,0.00275,0.001
bugless_message_keyword_doc,71,[0],0.02125,0.01745,0.0068
bugless_message_keyword_drop,72,[0],0.0059,0.0043,0.00215
bugless_message_keyword_enhanc,73,[0],0.0024,0.00185,0.0012
bugless_message_keyword_exampl,74,[0],0.0104,0.00885,0.00345
bugless_message_keyword_exclud,75,[0],0.00235,0.00185,0.0007
bugless_message_keyword_expand,76,[0],0.0022,0.00185,0.0011
bugless_message_keyword_extendgener,77,[],0.0,0.0,0.0
bugless_message_keyword_featur,78,[0],0.00575,0.0055,0.003
bugless_message_keyword_forget,79,[0],0.00095,0.00075,0.0006
bugless_message_keyword_format,80,[0],0.0126,0.0109,0.00715
bugless_message_keyword_gitignor,81,[0],0.00085,0.0008,5e-05
bugless_message_keyword_idea,82,[0],0.009,0.0074,0.0036
bugless_message_keyword_implement,83,[0],0.0221,0.01575,0.00935
bugless_message_keyword_improv,84,[0],0.01485,0.01265,0.00775
bugless_message_keyword_includ,85,[0],0.0193,0.0151,0.00815
bugless_message_keyword_info,86,[0],0.0107,0.00915,0.0055
bugless_message_keyword_intorduc,87,[],0.0,0.0,0.0
bugless_message_keyword_limit,88,[0],0.00255,0.00235,0.00185
bugless_message_keyword_log,89,[0],0.0112,0.00975,0.0062
bugless_message_keyword_migrat,90,[0],0.0028,0.00235,0.0007
bugless_message_keyword_minim,91,[0],0.00085,0.0007,0.0005
bugless_message_keyword_modif,92,[0],0.00135,0.00115,0.0009
bugless_message_keyword_move,93,[0],0.0319,0.02165,0.0111
bugless_message_keyword_new,94,[0],0.0421,0.0366,0.01875
bugless_message_keyword_note,95,[0],0.0112,0.0101,0.00515
bugless_message_keyword_opinion,96,[],0.0,0.0,0.0
bugless_message_keyword_optim,97,[0],0.00695,0.0049,0.0026
bugless_message_keyword_pass|test,98,[0],0.00085,0.00085,0.0003
bugless_message_keyword_perf|test,99,[0],0.00075,0.00075,0.0003
bugless_message_keyword_perfom|test,100,[],0.0,0.0,0.0
bugless_message_keyword_perform,101,[0],0.00665,0.00625,0.00355
bugless_message_keyword_plugin,102,[0],0.02285,0.02075,0.00955
bugless_message_keyword_polish,103,[0],0.0004,0.00035,0.0002
bugless_message_keyword_possibl,104,[0],0.00905,0.0082,0.00615
bugless_message_keyword_prepar,105,[0],0.0037,0.00315,0.00095
bugless_message_keyword_propos,106,[0],0.0006,0.0006,0.0004
bugless_message_keyword_provid,107,[0],0.00825,0.00735,0.0047
bugless_message_keyword_publish,108,[0],0.00165,0.0014,0.0008
bugless_message_keyword_readm,109,[0],0.0107,0.00965,0.00215
bugless_message_keyword_reduc,110,[0],0.003,0.0026,0.00155
bugless_message_keyword_refactor,111,[0],0.01725,0.0118,0.00655
bugless_message_keyword_refin,112,[0],0.0015,0.00125,0.00095
bugless_message_keyword_reformat,113,[0],0.0011,0.0008,0.0005
bugless_message_keyword_regress|test,114,[0],0.00085,0.00085,0.0005
bugless_message_keyword_reimplement,115,[0],0.00045,0.00025,0.0001
bugless_message_keyword_release,116,[],0.0,0.0,0.0
bugless_message_keyword_remov,117,[0],0.07275,0.0467,0.024
bugless_message_keyword_renam,118,[0],0.015,0.00915,0.00465
bugless_message_keyword_reorgan,119,[0],0.00085,0.00055,0.0003
bugless_message_keyword_replac,120,[0],0.01525,0.0108,0.0059
bugless_message_keyword_restrict,121,[0],0.00085,0.0006,0.0004
bugless_message_keyword_restructur,122,[0],0.0006,0.00035,0.00015
bugless_message_keyword_review,123,[0],0.00165,0.00155,0.00115
bugless_message_keyword_rewrit,124,[0],0.0022,0.00205,0.00125
bugless_message_keyword_rid,125,[0],0.0075,0.0046,0.0024
bugless_message_keyword_set|up,126,[0],0.0014,0.00115,0.00065
bugless_message_keyword_simplif,127,[0],0.00045,0.00045,0.0003
bugless_message_keyword_simplifi,128,[0],0.00855,0.00575,0.0033
bugless_message_keyword_speedup,129,[0],0.0029,0.0024,0.0013
bugless_message_keyword_stage,130,[0],0.001,0.00085,0.00055
bugless_message_keyword_stat,131,[0],0.00105,0.001,0.0006
bugless_message_keyword_statist,132,[0],0.0005,0.00045,0.0003
bugless_message_keyword_support,133,[0],0.04285,0.03415,0.0169
bugless_message_keyword_switch,134,[0],0.00745,0.0064,0.0042
bugless_message_keyword_test,135,[0],0.1063,0.08795,0.04615
bugless_message_keyword_test|coverag,136,[0],0.0001,0.0001,5e-05
bugless_message_keyword_test|pass,137,[0],0.0012,0.0012,0.00065
bugless_message_keyword_todo,138,[0],0.00225,0.002,0.0009
bugless_message_keyword_tweak,139,[0],0.00515,0.0037,0.0021
bugless_message_keyword_unit,140,[0],0.00565,0.00525,0.00325
bugless_message_keyword_unnecessari,141,[0],0.00545,0.0052,0.0023
bugless_message_keyword_updat,142,[0],0.0729,0.0513,0.024
bugless_message_keyword_upgrad,143,[0],0.0036,0.0028,0.00175
bugless_message_keyword_version,144,[0],0.0316,0.0285,0.0132
