,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[1],0.00205,0.00195,0.00135
bug_message_keyword_broken,1,[1],0.00675,0.006,0.0043
bug_message_keyword_bug,2,[1],0.0642,0.0625,0.04385
bug_message_keyword_close,3,[1],0.01565,0.01275,0.0095
bug_message_keyword_concurr,4,[1],0.0052,0.00475,0.004
bug_message_keyword_correct,5,[1],0.029,0.02115,0.0153
bug_message_keyword_corrupt,6,[1],0.00105,0.0009,0.00055
bug_message_keyword_crash,7,[1],0.0006,0.00045,0.0003
bug_message_keyword_deadlock,8,[1],0.00195,0.0017,0.00125
bug_message_keyword_defect,9,[],0.0,0.0,0.0
bug_message_keyword_disabl,10,[1],0.00835,0.0072,0.00645
bug_message_keyword_endless,11,[1],5e-05,5e-05,5e-05
bug_message_keyword_ensur,12,[1],0.0114,0.00975,0.00715
bug_message_keyword_error,13,[1],0.0235,0.02105,0.01485
bug_message_keyword_except,14,[1],0.017,0.0152,0.01075
bug_message_keyword_fail,15,[1],0.03695,0.0321,0.02695
bug_message_keyword_bugfix,16,[1],0.20825,0.1537,0.1155
bug_message_keyword_garbag,17,[1],0.0006,0.00045,0.0004
bug_message_keyword_handl,18,[1],0.0207,0.0174,0.01295
bug_message_keyword_incomplet,19,[1],0.00065,0.0004,0.00035
bug_message_keyword_inconsist,20,[1],0.00175,0.0016,0.0012
bug_message_keyword_incorrect,21,[1],0.00355,0.00305,0.00175
bug_message_keyword_infinit,22,[1],0.001,0.00095,0.00025
bug_message_keyword_invalid,23,[1],0.0042,0.0036,0.00265
bug_message_keyword_issue,24,[],0.0,0.0,0.0
bug_message_keyword_leak,25,[1],0.00535,0.00505,0.0033
bug_message_keyword_loop,26,[1],0.0032,0.0029,0.00205
bug_message_keyword_minor,27,[1],0.01015,0.00965,0.0087
bug_message_keyword_mistak,28,[1],0.0007,0.00055,0.0004
bug_message_keyword_npe,29,[1],0.01025,0.0096,0.0057
bug_message_keyword_not|work,30,[1],0.0018,0.00125,0.001
bug_message_keyword_not|return,31,[1],0.0005,0.0004,0.0003
bug_message_keyword_of|bound,32,[1],0.00015,0.00015,0.0001
bug_message_keyword_patch,33,[1],0.0218,0.0195,0.01705
bug_message_keyword_prevent,34,[1],0.00775,0.0065,0.0051
bug_message_keyword_problem,35,[1],0.0077,0.0074,0.0058
bug_message_keyword_properli,36,[1],0.00365,0.00315,0.00225
bug_message_keyword_race|condit,37,[1],0.0013,0.0012,0.00055
bug_message_keyword_repair,38,[1],0.0001,0.0001,0.0001
bug_message_keyword_resolv,39,[1],0.00355,0.00305,0.0025
bug_message_keyword_threw,40,[1],0.00945,0.0081,0.0049
bug_message_keyword_timeout,41,[1],0.0072,0.00545,0.00465
bug_message_keyword_unabl,42,[1],0.00015,0.00015,0.0001
bug_message_keyword_unclos,43,[1],0.0003,0.00025,0.0001
bug_message_keyword_unexpect,44,[1],0.0009,0.0008,0.0004
bug_message_keyword_unknown,45,[1],0.0008,0.00075,0.0007
bug_message_keyword_unsynchron,46,[1],0.0001,0.0,0.0
bug_message_keyword_wrong,47,[1],0.0053,0.0044,0.0029
bugless_message_keyword_abil,48,[0],0.00225,0.00205,0.00095
bugless_message_keyword_ad,49,[0],0.0459,0.03165,0.01135
bugless_message_keyword_add,50,[0],0.1168,0.0774,0.028
bugless_message_keyword_addit,51,[0],0.00965,0.00915,0.0051
bugless_message_keyword_allow,52,[0],0.0198,0.0146,0.00745
bugless_message_keyword_analysi,53,[0],0.0037,0.0029,0.0012
bugless_message_keyword_avoid,54,[0],0.0159,0.013,0.0082
bugless_message_keyword_baselin,55,[0],0.00015,0.0,0.0
bugless_message_keyword_beautification,56,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,57,[0],0.00215,0.0019,0.00045
bugless_message_keyword_better,58,[0],0.01195,0.00955,0.00545
bugless_message_keyword_bump,59,[0],0.0011,0.00105,0.00015
bugless_message_keyword_chang|log,60,[0],0.0012,0.0012,0.0003
bugless_message_keyword_clean,61,[0],0.0238,0.0157,0.0071
bugless_message_keyword_comment,62,[0],0.0169,0.0152,0.00735
bugless_message_keyword_complet,63,[0],0.00635,0.0054,0.00325
bugless_message_keyword_configur|chang,64,[0],0.0001,5e-05,0.0
bugless_message_keyword_consolid,65,[0],0.0009,0.00065,0.00015
bugless_message_keyword_convert,66,[0],0.0043,0.00295,0.0014
bugless_message_keyword_coverag,67,[0],0.00205,0.00195,0.0006
bugless_message_keyword_create,68,[],0.0,0.0,0.0
bugless_message_keyword_deprec,69,[0],0.0161,0.0129,0.0022
bugless_message_keyword_develop,70,[0],0.0039,0.0037,0.00085
bugless_message_keyword_doc,71,[0],0.07305,0.05975,0.0328
bugless_message_keyword_drop,72,[0],0.0022,0.00155,0.00065
bugless_message_keyword_enhanc,73,[0],0.00225,0.0019,0.00115
bugless_message_keyword_exampl,74,[0],0.0132,0.0116,0.00515
bugless_message_keyword_exclud,75,[0],0.0035,0.0029,0.00095
bugless_message_keyword_expand,76,[0],0.00375,0.00335,0.00165
bugless_message_keyword_extendgener,77,[],0.0,0.0,0.0
bugless_message_keyword_featur,78,[0],0.0045,0.00385,0.00165
bugless_message_keyword_forget,79,[0],0.0003,0.00025,0.0001
bugless_message_keyword_format,80,[0],0.0122,0.00995,0.0051
bugless_message_keyword_gitignor,81,[0],0.0005,0.00045,5e-05
bugless_message_keyword_idea,82,[0],0.00285,0.00235,0.001
bugless_message_keyword_implement,83,[0],0.0283,0.0214,0.00975
bugless_message_keyword_improv,84,[0],0.0327,0.0276,0.0144
bugless_message_keyword_includ,85,[0],0.0135,0.01145,0.00645
bugless_message_keyword_info,86,[0],0.0056,0.00455,0.00125
bugless_message_keyword_intorduc,87,[],0.0,0.0,0.0
bugless_message_keyword_limit,88,[0],0.00425,0.00355,0.0016
bugless_message_keyword_log,89,[0],0.02425,0.0203,0.0117
