,j,Polarity,Coverage,Overlaps,Conflicts
bugless_message_keyword_move,0,[0],0.0323,0.023,0.0104
bugless_message_keyword_refactor,1,[0],0.0218,0.0156,0.0077
bugless_message_keyword_renam,2,[0],0.01565,0.0101,0.00375
bugless_message_keyword_reorgan,3,[0],0.0003,0.0003,0.0002
bugless_message_keyword_restructur,4,[0],0.0006,0.00045,0.0002
bugless_message_keyword_rewrit,5,[0],0.0019,0.0016,0.00075
bugless_message_keyword_simplif,6,[0],0.00055,0.0005,0.00025
bugless_message_keyword_simplifi,7,[0],0.0089,0.00635,0.0029
bug_message_keyword_bad,8,[1],0.0025,0.00235,0.0018
bug_message_keyword_broken,9,[1],0.0063,0.0057,0.0044
bug_message_keyword_bug,10,[1],0.03085,0.03015,0.02005
bug_message_keyword_close,11,[1],0.037,0.0331,0.02595
bug_message_keyword_concurr,12,[1],0.0041,0.0037,0.00305
bug_message_keyword_correct,13,[1],0.0204,0.01555,0.01175
bug_message_keyword_corrupt,14,[1],0.0015,0.00135,0.0011
bug_message_keyword_crash,15,[1],0.00265,0.0022,0.00155
bug_message_keyword_deadlock,16,[1],0.0021,0.00175,0.0012
bug_message_keyword_defect,17,[1],5e-05,5e-05,5e-05
bug_message_keyword_disabl,18,[1],0.0115,0.00985,0.0089
bug_message_keyword_endless,19,[1],0.00035,0.0003,0.00025
bug_message_keyword_ensur,20,[1],0.00875,0.00715,0.0057
bug_message_keyword_error,21,[1],0.02595,0.0228,0.0155
bug_message_keyword_except,22,[1],0.0161,0.01425,0.01115
bug_message_keyword_fail,23,[1],0.03905,0.0318,0.02665
bug_message_keyword_bugfix,24,[1],0.2045,0.14425,0.10505
bug_message_keyword_garbag,25,[1],0.00035,0.00025,0.0002
bug_message_keyword_handl,26,[1],0.0223,0.01845,0.01435
bug_message_keyword_incomplet,27,[1],0.0008,0.0006,0.00045
bug_message_keyword_inconsist,28,[1],0.0015,0.0014,0.00095
bug_message_keyword_incorrect,29,[1],0.00375,0.00325,0.00215
bug_message_keyword_infinit,30,[1],0.00085,0.00085,0.0004
bug_message_keyword_invalid,31,[1],0.004,0.0035,0.00225
bug_message_keyword_issue,32,[],0.0,0.0,0.0
bug_message_keyword_leak,33,[1],0.00365,0.0033,0.00215
bug_message_keyword_loop,34,[1],0.00425,0.0038,0.00285
bug_message_keyword_minor,35,[1],0.0128,0.0118,0.01025
bug_message_keyword_mistak,36,[1],0.0009,0.0007,0.00055
bug_message_keyword_npe,37,[1],0.0081,0.00725,0.004
bug_message_keyword_not|work,38,[1],0.00285,0.002,0.0014
bug_message_keyword_not|return,39,[1],0.00045,0.0004,0.00025
bug_message_keyword_of|bound,40,[1],0.0001,0.0001,0.0001
bug_message_keyword_patch,41,[1],0.0234,0.02035,0.01475
bug_message_keyword_prevent,42,[1],0.00825,0.0073,0.00605
bug_message_keyword_problem,43,[1],0.01295,0.0123,0.0085
bug_message_keyword_properli,44,[1],0.0069,0.0062,0.0043
bug_message_keyword_race|condit,45,[1],0.00135,0.00125,0.001
bug_message_keyword_repair,46,[1],0.0002,0.00015,0.0001
bug_message_keyword_resolv,47,[1],0.01005,0.00835,0.0066
bug_message_keyword_threw,48,[1],0.0069,0.00605,0.00415
bug_message_keyword_timeout,49,[1],0.0062,0.00525,0.00445
bug_message_keyword_unabl,50,[1],0.0008,0.0004,0.0003
bug_message_keyword_unclos,51,[1],0.0002,0.0002,0.00015
bug_message_keyword_unexpect,52,[1],0.0009,0.00085,0.0004
bug_message_keyword_unknown,53,[1],0.0013,0.00115,0.001
bug_message_keyword_unsynchron,54,[1],5e-05,0.0,0.0
bug_message_keyword_wrong,55,[1],0.0058,0.00475,0.0033
bugless_message_keyword_abil,56,[0],0.00315,0.00285,0.0015
bugless_message_keyword_ad,57,[0],0.06145,0.04765,0.02035
bugless_message_keyword_add,58,[0],0.10845,0.07835,0.0319
bugless_message_keyword_addit,59,[0],0.0101,0.0098,0.00515
bugless_message_keyword_allow,60,[0],0.02985,0.0228,0.0132
bugless_message_keyword_analysi,61,[0],0.0028,0.0024,0.00125
bugless_message_keyword_avoid,62,[0],0.01625,0.0128,0.0077
bugless_message_keyword_baselin,63,[0],5e-05,5e-05,5e-05
bugless_message_keyword_beautification,64,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,65,[0],0.00155,0.0011,0.0006
bugless_message_keyword_better,66,[0],0.01265,0.01035,0.0058
bugless_message_keyword_bump,67,[0],0.00395,0.0035,0.0009
bugless_message_keyword_chang|log,68,[0],0.0005,0.0005,0.00015
bugless_message_keyword_clean,69,[0],0.02385,0.0169,0.00905
bugless_message_keyword_comment,70,[0],0.0122,0.01005,0.0053
bugless_message_keyword_complet,71,[0],0.0093,0.00835,0.00475
bugless_message_keyword_configur|chang,72,[0],0.0001,0.0,0.0
bugless_message_keyword_consolid,73,[0],0.00125,0.0009,0.00035
bugless_message_keyword_convert,74,[0],0.00815,0.00595,0.0032
bugless_message_keyword_coverag,75,[0],0.00205,0.0018,0.0009
bugless_message_keyword_create,76,[],0.0,0.0,0.0
bugless_message_keyword_deprec,77,[0],0.0136,0.01105,0.00335
bugless_message_keyword_develop,78,[0],0.00225,0.002,0.0004
bugless_message_keyword_doc,79,[0],0.04865,0.0395,0.0185
bugless_message_keyword_drop,80,[0],0.0038,0.00295,0.00125
bugless_message_keyword_enhanc,81,[0],0.0025,0.0019,0.0009
bugless_message_keyword_exampl,82,[0],0.0126,0.01105,0.0042
bugless_message_keyword_exclud,83,[0],0.00285,0.00235,0.00115
bugless_message_keyword_expand,84,[0],0.0028,0.0026,0.00155
bugless_message_keyword_extendgener,85,[],0.0,0.0,0.0
bugless_message_keyword_featur,86,[0],0.00635,0.006,0.00325
bugless_message_keyword_forget,87,[0],0.00055,0.00045,0.00025
bugless_message_keyword_format,88,[0],0.011,0.00925,0.0057
bugless_message_keyword_gitignor,89,[0],0.0004,0.0004,0.0002
bugless_message_keyword_idea,90,[0],0.0037,0.00315,0.00135
bugless_message_keyword_implement,91,[0],0.0323,0.0241,0.0115
bugless_message_keyword_improv,92,[0],0.02625,0.0206,0.01085
bugless_message_keyword_includ,93,[0],0.01385,0.01175,0.00595
bugless_message_keyword_info,94,[0],0.00655,0.00555,0.00285
bugless_message_keyword_intorduc,95,[],0.0,0.0,0.0
bugless_message_keyword_limit,96,[0],0.0048,0.0039,0.0023
bugless_message_keyword_log,97,[0],0.02155,0.01725,0.0106
bugless_message_keyword_migrat,98,[0],0.0047,0.00395,0.001
bugless_message_keyword_minim,99,[0],0.00085,0.00065,0.00045
bugless_message_keyword_modif,100,[0],0.0012,0.00105,0.0009
bugless_message_keyword_new,101,[0],0.03845,0.0334,0.0153
bugless_message_keyword_note,102,[0],0.0088,0.008,0.00325
bugless_message_keyword_opinion,103,[],0.0,0.0,0.0
bugless_message_keyword_optim,104,[0],0.0095,0.0063,0.00335
bugless_message_keyword_pass|test,105,[0],0.00025,0.00025,0.00015
bugless_message_keyword_perf|test,106,[0],0.0005,0.0005,0.00025
bugless_message_keyword_perfom|test,107,[],0.0,0.0,0.0
bugless_message_keyword_perform,108,[0],0.0088,0.0083,0.0042
bugless_message_keyword_plugin,109,[0],0.0137,0.0117,0.00445
bugless_message_keyword_polish,110,[0],0.00855,0.00285,0.00105
bugless_message_keyword_possibl,111,[0],0.0102,0.0091,0.0066
bugless_message_keyword_prepar,112,[0],0.0034,0.00305,0.001
bugless_message_keyword_propos,113,[0],0.0011,0.0011,0.0008
bugless_message_keyword_provid,114,[0],0.01365,0.01195,0.0072
bugless_message_keyword_publish,115,[0],0.002,0.00155,0.00085
bugless_message_keyword_readm,116,[0],0.00515,0.0047,0.00095
bugless_message_keyword_reduc,117,[0],0.0078,0.0065,0.00295
bugless_message_keyword_refin,118,[0],0.00145,0.00105,0.00055
bugless_message_keyword_reformat,119,[0],0.00085,0.0005,0.0002
bugless_message_keyword_regress|test,120,[0],0.0006,0.0006,0.00035
bugless_message_keyword_reimplement,121,[0],0.0006,0.0004,0.00025
bugless_message_keyword_release,122,[],0.0,0.0,0.0
bugless_message_keyword_remov,123,[0],0.0832,0.0558,0.02375
bugless_message_keyword_replac,124,[0],0.01215,0.0091,0.0042
bugless_message_keyword_restrict,125,[0],0.001,0.00095,0.00035
bugless_message_keyword_review,126,[0],0.005,0.0044,0.0026
bugless_message_keyword_rid,127,[0],0.00345,0.00245,0.0013
bugless_message_keyword_set|up,128,[0],0.00065,0.0005,0.00035
bugless_message_keyword_speedup,129,[0],0.0023,0.00185,0.00085
bugless_message_keyword_stage,130,[0],0.001,0.0008,0.00055
bugless_message_keyword_stat,131,[0],0.0024,0.0022,0.0008
bugless_message_keyword_statist,132,[0],0.00095,0.00085,0.0004
bugless_message_keyword_support,133,[0],0.0498,0.03865,0.0152
bugless_message_keyword_switch,134,[0],0.00685,0.0052,0.00295
bugless_message_keyword_test,135,[0],0.1226,0.10525,0.0602
bugless_message_keyword_test|coverag,136,[0],0.00075,0.00075,0.0002
bugless_message_keyword_test|pass,137,[0],0.00115,0.00115,0.00065
bugless_message_keyword_todo,138,[0],0.00385,0.0035,0.00175
bugless_message_keyword_tweak,139,[0],0.00275,0.00175,0.00095
bugless_message_keyword_unit,140,[0],0.01175,0.01155,0.0061
bugless_message_keyword_unnecessari,141,[0],0.00675,0.0065,0.00205
bugless_message_keyword_updat,142,[0],0.05945,0.04125,0.01755
bugless_message_keyword_upgrad,143,[0],0.016,0.0104,0.00285
bugless_message_keyword_version,144,[0],0.02905,0.026,0.00995
