,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[1],0.004228329809725159,0.004228329809725159,0.0010570824524312897,3,1,0.75
bug_message_keyword_broken,1,[1],0.007399577167019027,0.006342494714587738,0.005285412262156448,6,1,0.8571428571428572
bug_message_keyword_bug,2,[1],0.03276955602536998,0.03171247357293869,0.019027484143763214,30,1,0.967741935483871
bug_message_keyword_close,3,[1],0.048625792811839326,0.04334038054968287,0.03382663847780127,20,26,0.43478260869565216
bug_message_keyword_concurr,4,[1],0.006342494714587738,0.006342494714587738,0.005285412262156448,3,3,0.5
bug_message_keyword_correct,5,[1],0.010570824524312896,0.008456659619450317,0.005285412262156448,7,3,0.7
bug_message_keyword_corrupt,6,[1],0.003171247357293869,0.003171247357293869,0.0010570824524312897,2,1,0.6666666666666666
bug_message_keyword_crash,7,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_deadlock,8,[1],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,10,[1],0.005285412262156448,0.005285412262156448,0.005285412262156448,2,3,0.4
bug_message_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,12,[1],0.005285412262156448,0.005285412262156448,0.003171247357293869,5,0,1.0
bug_message_keyword_error,13,[1],0.02959830866807611,0.026427061310782242,0.014799154334038054,17,11,0.6071428571428571
bug_message_keyword_except,14,[1],0.023255813953488372,0.021141649048625793,0.011627906976744186,14,8,0.6363636363636364
bug_message_keyword_fail,15,[1],0.035940803382663845,0.02854122621564482,0.021141649048625793,28,6,0.8235294117647058
bug_message_keyword_bugfix,16,[1],0.273784355179704,0.17653276955602537,0.10887949260042283,234,25,0.9034749034749034
bug_message_keyword_garbag,17,[1],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794,1,1,0.5
bug_message_keyword_handl,18,[1],0.024312896405919663,0.023255813953488372,0.017970401691331923,12,11,0.5217391304347826
bug_message_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,20,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bug_message_keyword_incorrect,21,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_infinit,22,[1],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bug_message_keyword_invalid,23,[1],0.0021141649048625794,0.0021141649048625794,0.0,1,1,0.5
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[1],0.003171247357293869,0.003171247357293869,0.0010570824524312897,3,0,1.0
bug_message_keyword_loop,26,[1],0.008456659619450317,0.006342494714587738,0.004228329809725159,6,2,0.75
bug_message_keyword_minor,27,[1],0.0200845665961945,0.019027484143763214,0.014799154334038054,4,15,0.21052631578947367
bug_message_keyword_mistak,28,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bug_message_keyword_npe,29,[1],0.016913319238900635,0.012684989429175475,0.004228329809725159,14,2,0.875
bug_message_keyword_not|work,30,[1],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794,1,1,0.5
bug_message_keyword_not|return,31,[1],0.0010570824524312897,0.0,0.0,1,0,1.0
bug_message_keyword_of|bound,32,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,33,[1],0.013742071881606765,0.009513742071881607,0.008456659619450317,6,7,0.46153846153846156
bug_message_keyword_prevent,34,[1],0.011627906976744186,0.008456659619450317,0.007399577167019027,6,5,0.5454545454545454
bug_message_keyword_problem,35,[1],0.014799154334038054,0.013742071881606765,0.003171247357293869,11,3,0.7857142857142857
bug_message_keyword_properli,36,[1],0.010570824524312896,0.009513742071881607,0.0021141649048625794,9,1,0.9
bug_message_keyword_race|condit,37,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_repair,38,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,0,1,0.0
bug_message_keyword_resolv,39,[1],0.009513742071881607,0.007399577167019027,0.003171247357293869,6,3,0.6666666666666666
bug_message_keyword_threw,40,[1],0.007399577167019027,0.006342494714587738,0.003171247357293869,6,1,0.8571428571428572
bug_message_keyword_timeout,41,[1],0.010570824524312896,0.009513742071881607,0.004228329809725159,7,3,0.7
bug_message_keyword_unabl,42,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_unclos,43,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,44,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_unknown,45,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,47,[1],0.005285412262156448,0.003171247357293869,0.0021141649048625794,4,1,0.8
bugless_message_keyword_abil,48,[0],0.004228329809725159,0.004228329809725159,0.0010570824524312897,4,0,1.0
bugless_message_keyword_ad,49,[0],0.09408033826638477,0.07822410147991543,0.03488372093023256,72,17,0.8089887640449438
bugless_message_keyword_add,50,[0],0.07822410147991543,0.06025369978858351,0.017970401691331923,62,12,0.8378378378378378
bugless_message_keyword_addit,51,[0],0.009513742071881607,0.009513742071881607,0.003171247357293869,8,1,0.8888888888888888
bugless_message_keyword_allow,52,[0],0.03699788583509514,0.02959830866807611,0.015856236786469344,32,3,0.9142857142857144
bugless_message_keyword_analysi,53,[0],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,1,1,0.5
bugless_message_keyword_avoid,54,[0],0.013742071881606765,0.009513742071881607,0.004228329809725159,10,3,0.7692307692307692
bugless_message_keyword_baselin,55,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_beautification,56,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,57,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_better,58,[0],0.010570824524312896,0.008456659619450317,0.005285412262156448,9,1,0.9
bugless_message_keyword_bump,59,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_chang|log,60,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_clean,61,[0],0.024312896405919663,0.015856236786469344,0.007399577167019027,20,3,0.8695652173913043
bugless_message_keyword_comment,62,[0],0.004228329809725159,0.003171247357293869,0.0021141649048625794,3,1,0.75
bugless_message_keyword_complet,63,[0],0.007399577167019027,0.007399577167019027,0.0021141649048625794,5,2,0.7142857142857143
bugless_message_keyword_configur|chang,64,[0],0.0010570824524312897,0.0,0.0,1,0,1.0
bugless_message_keyword_consolid,65,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_convert,66,[0],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794,0,2,0.0
bugless_message_keyword_coverag,67,[0],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bugless_message_keyword_create,68,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,69,[0],0.011627906976744186,0.010570824524312896,0.005285412262156448,10,1,0.9090909090909092
bugless_message_keyword_develop,70,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_doc,71,[0],0.040169133192389,0.035940803382663845,0.015856236786469344,32,6,0.8421052631578947
bugless_message_keyword_drop,72,[0],0.005285412262156448,0.003171247357293869,0.0010570824524312897,4,1,0.8
bugless_message_keyword_enhanc,73,[0],0.003171247357293869,0.0021141649048625794,0.0021141649048625794,2,1,0.6666666666666666
bugless_message_keyword_exampl,74,[0],0.005285412262156448,0.005285412262156448,0.003171247357293869,4,1,0.8
bugless_message_keyword_exclud,75,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_expand,76,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_extendgener,77,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_featur,78,[0],0.0021141649048625794,0.0021141649048625794,0.0,1,1,0.5
bugless_message_keyword_forget,79,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_format,80,[0],0.007399577167019027,0.004228329809725159,0.003171247357293869,5,2,0.7142857142857143
bugless_message_keyword_gitignor,81,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_idea,82,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_implement,83,[0],0.04756871035940803,0.03699788583509514,0.012684989429175475,40,5,0.8888888888888888
bugless_message_keyword_improv,84,[0],0.0306553911205074,0.023255813953488372,0.013742071881606765,26,3,0.896551724137931
bugless_message_keyword_includ,85,[0],0.008456659619450317,0.008456659619450317,0.003171247357293869,5,3,0.625
bugless_message_keyword_info,86,[0],0.005285412262156448,0.005285412262156448,0.0010570824524312897,5,0,1.0
bugless_message_keyword_intorduc,87,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_limit,88,[0],0.0021141649048625794,0.0010570824524312897,0.0,2,0,1.0
bugless_message_keyword_log,89,[0],0.017970401691331923,0.015856236786469344,0.007399577167019027,14,3,0.8235294117647058
bugless_message_keyword_migrat,90,[0],0.003171247357293869,0.0021141649048625794,0.0010570824524312897,2,1,0.6666666666666666
bugless_message_keyword_minim,91,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_modif,92,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_new,93,[0],0.04756871035940803,0.039112050739957716,0.017970401691331923,39,6,0.8666666666666667
bugless_message_keyword_note,94,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_opinion,95,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_optim,96,[0],0.015856236786469344,0.013742071881606765,0.006342494714587738,14,1,0.9333333333333333
bugless_message_keyword_pass|test,97,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_perf|test,98,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_perfom|test,99,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_perform,100,[0],0.010570824524312896,0.008456659619450317,0.004228329809725159,4,6,0.4
bugless_message_keyword_plugin,101,[0],0.003171247357293869,0.003171247357293869,0.003171247357293869,2,1,0.6666666666666666
bugless_message_keyword_polish,102,[0],0.017970401691331923,0.008456659619450317,0.0021141649048625794,17,0,1.0
bugless_message_keyword_possibl,103,[0],0.013742071881606765,0.011627906976744186,0.008456659619450317,6,7,0.46153846153846156
bugless_message_keyword_prepar,104,[0],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bugless_message_keyword_propos,105,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_provid,106,[0],0.010570824524312896,0.009513742071881607,0.003171247357293869,9,1,0.9
bugless_message_keyword_publish,107,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_readm,108,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_reduc,109,[0],0.005285412262156448,0.004228329809725159,0.004228329809725159,3,2,0.6
bugless_message_keyword_refin,110,[0],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bugless_message_keyword_reformat,111,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_regress|test,112,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_reimplement,113,[0],0.0021141649048625794,0.0,0.0,2,0,1.0
bugless_message_keyword_release,114,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_remov,115,[0],0.07293868921775898,0.05179704016913319,0.023255813953488372,59,10,0.855072463768116
bugless_message_keyword_replac,116,[0],0.006342494714587738,0.004228329809725159,0.0,6,0,1.0
bugless_message_keyword_restrict,117,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_review,118,[0],0.004228329809725159,0.004228329809725159,0.0021141649048625794,4,0,1.0
bugless_message_keyword_rid,119,[0],0.003171247357293869,0.0021141649048625794,0.0010570824524312897,1,2,0.33333333333333337
bugless_message_keyword_set|up,120,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_speedup,121,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_stage,122,[0],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bugless_message_keyword_stat,123,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_statist,124,[0],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bugless_message_keyword_support,125,[0],0.07822410147991543,0.049682875264270614,0.013742071881606765,69,5,0.9324324324324325
bugless_message_keyword_switch,126,[0],0.007399577167019027,0.005285412262156448,0.004228329809725159,4,3,0.5714285714285714
bugless_message_keyword_test,127,[0],0.16701902748414377,0.15750528541226216,0.09090909090909091,94,64,0.5949367088607596
bugless_message_keyword_test|coverag,128,[0],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bugless_message_keyword_test|pass,129,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_todo,130,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_tweak,131,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_unit,132,[0],0.03276955602536998,0.03276955602536998,0.017970401691331923,19,12,0.6129032258064516
bugless_message_keyword_unnecessari,133,[0],0.004228329809725159,0.004228329809725159,0.003171247357293869,4,0,1.0
bugless_message_keyword_updat,134,[0],0.02959830866807611,0.026427061310782242,0.013742071881606765,21,7,0.75
bugless_message_keyword_upgrad,135,[0],0.003171247357293869,0.0021141649048625794,0.0,3,0,1.0
bugless_message_keyword_version,136,[0],0.014799154334038054,0.014799154334038054,0.007399577167019027,13,1,0.9285714285714286
