,j,Polarity,Coverage,Overlaps,Conflicts
bugless_message_keyword_move,0,[0],0.0373,0.0261,0.01155
bugless_message_keyword_refactor,1,[0],0.0283,0.0196,0.0096
bugless_message_keyword_renam,2,[0],0.02035,0.0133,0.0055
bugless_message_keyword_reorgan,3,[0],0.00025,0.0002,5e-05
bugless_message_keyword_restructur,4,[0],0.0004,0.00025,0.0001
bugless_message_keyword_rewrit,5,[0],0.0016,0.00135,0.00065
bugless_message_keyword_simplif,6,[0],0.0008,0.0008,0.0005
bugless_message_keyword_simplifi,7,[0],0.00805,0.00605,0.00265
bug_message_keyword_bad,8,[1],0.0029,0.0028,0.00205
bug_message_keyword_broken,9,[1],0.0041,0.00355,0.00285
bug_message_keyword_bug,10,[1],0.0133,0.0129,0.0077
bug_message_keyword_close,11,[1],0.038,0.0331,0.02815
bug_message_keyword_concurr,12,[1],0.00465,0.00435,0.00325
bug_message_keyword_correct,13,[1],0.01485,0.0115,0.00925
bug_message_keyword_corrupt,14,[1],0.00115,0.001,0.00075
bug_message_keyword_crash,15,[1],0.00175,0.00125,0.0009
bug_message_keyword_deadlock,16,[1],0.00155,0.0012,0.0006
bug_message_keyword_defect,17,[],0.0,0.0,0.0
bug_message_keyword_disabl,18,[1],0.00975,0.008,0.00745
bug_message_keyword_endless,19,[1],0.0004,0.00035,0.0003
bug_message_keyword_ensur,20,[1],0.008,0.0068,0.0058
bug_message_keyword_error,21,[1],0.02485,0.02125,0.01535
bug_message_keyword_except,22,[1],0.02,0.01785,0.01405
bug_message_keyword_fail,23,[1],0.04705,0.03625,0.0299
bug_message_keyword_bugfix,24,[1],0.18165,0.1229,0.09355
bug_message_keyword_garbag,25,[1],0.0004,0.0003,0.00025
bug_message_keyword_handl,26,[1],0.0203,0.0169,0.0136
bug_message_keyword_incomplet,27,[1],0.0013,0.00115,0.00085
bug_message_keyword_inconsist,28,[1],0.00125,0.00105,0.00085
bug_message_keyword_incorrect,29,[1],0.00445,0.0037,0.00275
bug_message_keyword_infinit,30,[1],0.001,0.001,0.00065
bug_message_keyword_invalid,31,[1],0.00395,0.0034,0.0022
bug_message_keyword_issue,32,[],0.0,0.0,0.0
bug_message_keyword_leak,33,[1],0.0031,0.00255,0.0017
bug_message_keyword_loop,34,[1],0.0034,0.00295,0.0022
bug_message_keyword_minor,35,[1],0.0153,0.0139,0.0124
bug_message_keyword_mistak,36,[1],0.0008,0.00075,0.00065
bug_message_keyword_npe,37,[1],0.0084,0.0072,0.0039
bug_message_keyword_not|work,38,[1],0.0034,0.0021,0.0016
bug_message_keyword_not|return,39,[1],0.0006,0.0004,0.0003
bug_message_keyword_of|bound,40,[1],0.0002,0.00015,0.0001
bug_message_keyword_patch,41,[1],0.00925,0.0067,0.00525
bug_message_keyword_prevent,42,[1],0.0059,0.0053,0.00445
bug_message_keyword_problem,43,[1],0.0094,0.009,0.0063
bug_message_keyword_properli,44,[1],0.00705,0.00585,0.0041
bug_message_keyword_race|condit,45,[1],0.0022,0.00195,0.0012
bug_message_keyword_repair,46,[1],0.00035,0.00035,0.0003
bug_message_keyword_resolv,47,[1],0.0151,0.01245,0.00995
bug_message_keyword_threw,48,[1],0.0085,0.0074,0.0054
bug_message_keyword_timeout,49,[1],0.0064,0.00545,0.00465
bug_message_keyword_unabl,50,[1],0.001,0.0005,0.0004
bug_message_keyword_unclos,51,[1],5e-05,5e-05,5e-05
bug_message_keyword_unexpect,52,[1],0.00095,0.00095,0.00075
bug_message_keyword_unknown,53,[1],0.00125,0.0011,0.0008
bug_message_keyword_unsynchron,54,[],0.0,0.0,0.0
bug_message_keyword_wrong,55,[1],0.00685,0.0052,0.0039
bugless_message_keyword_abil,56,[0],0.0039,0.0035,0.0014
bugless_message_keyword_ad,57,[0],0.06885,0.054,0.02335
bugless_message_keyword_add,58,[0],0.09945,0.0705,0.0305
bugless_message_keyword_addit,59,[0],0.00875,0.00855,0.00485
bugless_message_keyword_allow,60,[0],0.0317,0.0227,0.0124
bugless_message_keyword_analysi,61,[0],0.0027,0.0023,0.00135
bugless_message_keyword_avoid,62,[0],0.0175,0.0136,0.0083
bugless_message_keyword_baselin,63,[0],5e-05,5e-05,5e-05
bugless_message_keyword_beautification,64,[],0.0,0.0,0.0
bugless_message_keyword_benchmark,65,[0],0.00125,0.00085,0.00055
bugless_message_keyword_better,66,[0],0.01065,0.0091,0.00505
bugless_message_keyword_bump,67,[0],0.0023,0.00205,0.0005
bugless_message_keyword_chang|log,68,[0],0.00035,0.00035,5e-05
bugless_message_keyword_clean,69,[0],0.0203,0.01455,0.0083
bugless_message_keyword_comment,70,[0],0.00765,0.0066,0.004
