,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bugless_if_at_least_5_added_files,0,[0],0.02959094865100087,0.02959094865100087,0.004351610095735422,26,8,0.7647058823529411
all_files_test_add,1,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
bugless_if_not_code_files,2,[],0.0,0.0,0.0,0,0,0.0
bugless_if_many_files_changes,3,[0],0.05918189730200174,0.05918189730200174,0.011314186248912098,55,13,0.8088235294117647
bugless_if_at_least_2_removed_files,4,[0],0.010443864229765013,0.010443864229765013,0.0008703220191470844,9,3,0.75
all_files_test_fix,5,[0],0.0008703220191470844,0.0008703220191470844,0.0,1,0,1.0
refactoring_if_at_least_2_renamed,6,[0],0.01392515230635335,0.01392515230635335,0.0026109660574412533,16,0,1.0
buggless_if_many_lines_changed,7,[0],0.26457789382071367,0.26457789382071367,0.04612706701479547,220,84,0.7236842105263158
no_files_have_modified_status,8,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer,9,"[0, 1]",1.0,0.26979982593559615,0.04699738903394256,687,462,0.597911227154047
