,j,Polarity,Coverage,Overlaps,Conflicts
buggless_if_doc_extensions,0,[],0.0,0.0,0.0
conventional_commit_regex,1,[],0.0,0.0,0.0
buggless_one_file,2,[],0.0,0.0,0.0
fine_grained_changes_transformer_90,3,[0],0.1649048625792812,0.040169133192389,0.005285412262156448
fix_keyword,4,[0],0.273784355179704,0.040169133192389,0.005285412262156448
bugless_message_keyword_move,5,[1],0.015856236786469344,0.003171247357293869,0.003171247357293869
bugless_message_keyword_refactor,6,[1],0.03276955602536998,0.008456659619450317,0.008456659619450317
bugless_message_keyword_renam,7,[1],0.016913319238900635,0.0021141649048625794,0.0021141649048625794
bugless_message_keyword_reorgan,8,[],0.0,0.0,0.0
bugless_message_keyword_restructur,9,[1],0.0010570824524312897,0.0,0.0
bugless_message_keyword_rewrit,10,[1],0.0010570824524312897,0.0,0.0
bugless_message_keyword_simplif,11,[1],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794
bugless_message_keyword_simplifi,12,[1],0.005285412262156448,0.0021141649048625794,0.0021141649048625794
