,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
buggless_if_doc_extensions,0,[],0.0,0.0,0.0,0,0,0.0
conventional_commit_regex,1,[],0.0,0.0,0.0,0,0,0.0
buggless_one_file,2,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_90,3,[0],0.20676253400699574,0.043334628837932376,0.00777302759424796,1036,28,0.9736842105263157
fix_keyword,4,[0],0.22075398367664206,0.041585697629226585,0.006024096385542169,1129,7,0.993838028169014
bugless_message_keyword_move,5,[1],0.02662261951029926,0.006995724834823164,0.006607073455110766,49,88,0.35766423357664234
bugless_message_keyword_refactor,6,[1],0.007967353284104159,0.0025262339681305867,0.0025262339681305867,18,23,0.43902439024390244
bugless_message_keyword_renam,7,[1],0.00777302759424796,0.0013602798289933929,0.001165954139137194,19,21,0.475
bugless_message_keyword_reorgan,8,[1],0.000971628449280995,0.000388651379712398,0.000194325689856199,2,3,0.4
bugless_message_keyword_restructur,9,[1],0.000582977069568597,0.000388651379712398,0.000388651379712398,1,2,0.33333333333333337
bugless_message_keyword_rewrit,10,[1],0.0025262339681305867,0.000971628449280995,0.000777302759424796,0,13,0.0
bugless_message_keyword_simplif,11,[1],0.000582977069568597,0.0,0.0,0,3,0.0
bugless_message_keyword_simplifi,12,[1],0.004080839486980179,0.00194325689856199,0.001748931208705791,1,20,0.047619047619047616
