,j,Polarity,Coverage,Overlaps,Conflicts
bug_message_keyword_bad,0,[0],0.00205,0.00135,0.0
bug_message_keyword_broken,1,[0],0.00675,0.0045,0.0
bug_message_keyword_bug,2,[0],0.0642,0.05685,0.0
bug_message_keyword_close,3,[0],0.01565,0.00835,0.0
bug_message_keyword_concurr,4,[0],0.0052,0.00315,0.0
bug_message_keyword_correct,5,[0],0.029,0.01285,0.0
bug_message_keyword_corrupt,6,[0],0.00105,0.0007,0.0
bug_message_keyword_crash,7,[0],0.0006,0.00045,0.0
bug_message_keyword_deadlock,8,[0],0.00195,0.00125,0.0
bug_message_keyword_defect,9,[],0.0,0.0,0.0
bug_message_keyword_disabl,10,[0],0.00835,0.00365,0.0
bug_message_keyword_endless,11,[0],5e-05,5e-05,0.0
bug_message_keyword_ensur,12,[0],0.0114,0.0077,0.0
bug_message_keyword_error,13,[0],0.0235,0.0163,0.0
bug_message_keyword_except,14,[0],0.017,0.01115,0.0
bug_message_keyword_fail,15,[0],0.03695,0.0205,0.0
bug_message_keyword_bugfix,16,[0],0.20825,0.10335,0.0
bug_message_keyword_garbag,17,[0],0.0006,0.00025,0.0
bug_message_keyword_handl,18,[0],0.0207,0.01265,0.0
bug_message_keyword_incomplet,19,[0],0.00065,0.0002,0.0
bug_message_keyword_inconsist,20,[0],0.00175,0.0011,0.0
bug_message_keyword_incorrect,21,[0],0.00355,0.0023,0.0
bug_message_keyword_infinit,22,[0],0.001,0.0009,0.0
bug_message_keyword_invalid,23,[0],0.0042,0.00265,0.0
bug_message_keyword_issue,24,[],0.0,0.0,0.0
bug_message_keyword_leak,25,[0],0.00535,0.0043,0.0
bug_message_keyword_loop,26,[0],0.0032,0.0017,0.0
bug_message_keyword_minor,27,[0],0.01015,0.00345,0.0
bug_message_keyword_mistak,28,[0],0.0007,0.0004,0.0
bug_message_keyword_npe,29,[0],0.01025,0.0074,0.0
bug_message_keyword_not|work,30,[0],0.0018,0.0006,0.0
bug_message_keyword_not|return,31,[0],0.0005,0.0003,0.0
bug_message_keyword_of|bound,32,[0],0.00015,0.00015,0.0
bug_message_keyword_patch,33,[0],0.0218,0.0141,0.0
bug_message_keyword_prevent,34,[0],0.00775,0.0051,0.0
bug_message_keyword_problem,35,[0],0.0077,0.0062,0.0
bug_message_keyword_properli,36,[0],0.00365,0.00235,0.0
bug_message_keyword_race|condit,37,[0],0.0013,0.001,0.0
bug_message_keyword_repair,38,[0],0.0001,5e-05,0.0
bug_message_keyword_resolv,39,[0],0.00355,0.00145,0.0
bug_message_keyword_threw,40,[0],0.00945,0.00665,0.0
bug_message_keyword_timeout,41,[0],0.0072,0.00275,0.0
bug_message_keyword_unabl,42,[0],0.00015,0.0001,0.0
bug_message_keyword_unclos,43,[0],0.0003,0.00025,0.0
bug_message_keyword_unexpect,44,[0],0.0009,0.0006,0.0
bug_message_keyword_unknown,45,[0],0.0008,0.00045,0.0
bug_message_keyword_unsynchron,46,[0],0.0001,0.0,0.0
bug_message_keyword_wrong,47,[0],0.0053,0.0035,0.0
bugless_message_keyword_abil,48,[],0.0,0.0,0.0
bugless_message_keyword_ad,49,[],0.0,0.0,0.0
