,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_message_keyword_bad,0,[0],0.00388651379712398,0.0029148853478429848,0.0,20,0,1.0
bug_message_keyword_broken,1,[0],0.004275165176836378,0.0025262339681305867,0.0,22,0,1.0
bug_message_keyword_bug,2,[0],0.1352506801399145,0.12767197823552273,0.0,695,1,0.9985632183908046
bug_message_keyword_close,3,[0],0.016906335017489314,0.008161678973960357,0.0,85,2,0.9770114942528736
bug_message_keyword_concurr,4,[0],0.00777302759424796,0.005052467936261173,0.0,40,0,1.0
bug_message_keyword_correct,5,[0],0.01729498639720171,0.012242518460940537,0.0,89,0,1.0
bug_message_keyword_corrupt,6,[0],0.004858142246404975,0.003692188107267781,0.0,25,0,1.0
bug_message_keyword_crash,7,[0],0.001165954139137194,0.000777302759424796,0.0,6,0,1.0
bug_message_keyword_deadlock,8,[0],0.005441119315973571,0.0029148853478429848,0.0,28,0,1.0
bug_message_keyword_defect,9,[0],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_disabl,10,[0],0.005635445005829771,0.0025262339681305867,0.0,29,0,1.0
bug_message_keyword_endless,11,[0],0.000971628449280995,0.000971628449280995,0.0,5,0,1.0
bug_message_keyword_ensur,12,[0],0.003109211037699184,0.002137582588418189,0.0,16,0,1.0
bug_message_keyword_error,13,[0],0.017100660707345512,0.012242518460940537,0.0,88,0,1.0
bug_message_keyword_except,14,[0],0.028371550719005052,0.020598523124757094,0.0,146,0,1.0
bug_message_keyword_fail,15,[0],0.04391760590750097,0.017877963466770307,0.0,226,0,1.0
bug_message_keyword_bugfix,16,[0],0.22172561212592304,0.15876408861251456,0.0,1134,7,0.9938650306748467
bug_message_keyword_garbag,17,[0],0.003303536727555383,0.002137582588418189,0.0,17,0,1.0
bug_message_keyword_handl,18,[0],0.020792848814613293,0.013019821220365333,0.0,104,3,0.9719626168224299
bug_message_keyword_incomplet,19,[0],0.0013602798289933929,0.001165954139137194,0.0,7,0,1.0
bug_message_keyword_inconsist,20,[0],0.004663816556548776,0.002137582588418189,0.0,23,1,0.9583333333333333
bug_message_keyword_incorrect,21,[0],0.009133307423241352,0.005052467936261173,0.0,47,0,1.0
bug_message_keyword_infinit,22,[0],0.0025262339681305867,0.002137582588418189,0.0,13,0,1.0
bug_message_keyword_invalid,23,[0],0.006607073455110766,0.004469490866692577,0.0,34,0,1.0
bug_message_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,25,[0],0.00388651379712398,0.002331908278274388,0.0,20,0,1.0
bug_message_keyword_loop,26,[0],0.006218422075398368,0.005635445005829771,0.0,32,0,1.0
bug_message_keyword_minor,27,[0],0.007384376214535562,0.004663816556548776,0.0,36,2,0.9473684210526316
bug_message_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,29,[0],0.013019821220365333,0.010299261562378547,0.0,67,0,1.0
bug_message_keyword_not|work,30,[0],0.0058297706956859695,0.0029148853478429848,0.0,30,0,1.0
bug_message_keyword_not|return,31,[0],0.00194325689856199,0.001165954139137194,0.0,10,0,1.0
bug_message_keyword_of|bound,32,[0],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_patch,33,[0],0.07112320248736884,0.041585697629226585,0.0,364,2,0.994535519125683
bug_message_keyword_prevent,34,[0],0.009521958802953751,0.006995724834823164,0.0,49,0,1.0
bug_message_keyword_problem,35,[0],0.012048192771084338,0.008550330353672756,0.0,61,1,0.9838709677419355
bug_message_keyword_properli,36,[0],0.008356004663816556,0.005246793626117373,0.0,43,0,1.0
bug_message_keyword_race|condit,37,[0],0.000971628449280995,0.000777302759424796,0.0,5,0,1.0
bug_message_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,39,[0],0.006995724834823164,0.004858142246404975,0.0,35,1,0.9722222222222222
bug_message_keyword_threw,40,[0],0.026039642440730666,0.014963078118927322,0.0,133,1,0.9925373134328358
bug_message_keyword_timeout,41,[0],0.003109211037699184,0.001554605518849592,0.0,16,0,1.0
bug_message_keyword_unabl,42,[0],0.000971628449280995,0.0,0.0,5,0,1.0
bug_message_keyword_unclos,43,[0],0.000971628449280995,0.000582977069568597,0.0,5,0,1.0
bug_message_keyword_unexpect,44,[0],0.001554605518849592,0.000971628449280995,0.0,8,0,1.0
